Sentence,Label
daftar verifikasi no hp kode kirim zmz tunggu kode yg masuk mohon solusi akurat,negative
informasi vip plaza status proses mesan barang alam laku beli situs online terima update status pesan tsb terima kasih,negative
lihat harga vimax lazada murah web resmi mikir langsung order harga beda lazada harga web resmi vimax order barang terima kaget barang beda beli web resmi no lot botol pake print timbul hologram tulis vimax kemas kilap stiker rapi botol tulis vimax timbul inti ragu minum mending return ya lazada si ngejual barang ga ori ga cek,negative
pesan minggu sepatu salah kirim ukur kali kirim salah ukur layan sistem salah rugi konsumen proses refund pick up produk desember a,negative
good,positive
,negative
customer service blanja com layan email balas spam junk telpon angkat berani belanja situs blanja com,negative
proses kirim jalan coba tukar size vipplaza tanggung sepatu promo sepatu promo kecewa,negative
butuh sedia bukalapak aman transaksi no,positive
joss skripsi barang detail,positive
beli hanphone tgl juli bayar tgl yg informasi lazada verifikasi aja kirim konfirmasi bayar laku dr kali hasil nihil nol yg laku kecuali yg,negative
promo tarik bantu finansial suka bantu jual,positive
review harga saing kualitas produk penuh butuh tolong sortir aplikasi canggih,negative
inappropriate content removed aja lu sampe nunggu,negative
order guess wg multifunction seller cadivashop byr tgl aug tgl aug dpt konfirm no resi cek cs nya harap sampe tgl krn utk gift tgl aug dpt email no resi nama email nama parahhh tgl aug dpt email lg barang sdh masuk ekspedisi dgn no resi yg dgn tgl aug tgl aug dpt email lg barang ambil ekspedisi dgn no resi tlp cs konfirm bener resi email jd yg resi abal email tgl aug palsu dikerjain lazada suruh cek tgl aug parah buangetttt manajeman lazada gakan belanja kemungkina belanja lazada alami bikin ribettt abisin pulsa belanja lazada worthless shopping lazada,negative
barang kirim le sesuai pesan nya barang lazy pod jepit narsis cm jepsis lazypod monopod tongsis holder besi smartphone kuning jual trend mediatama salah kirim jual trend mediatama warna salah lazy pod nya jepit putar bahan plastik barang cepat patah rusak alias pakai barang kirim pruduk lihat aplikasi lazada co id harga nya k salah tersbut alam tulis blog saran lazada men cek barang kirim sesuai pesan langgan pda ajar petik lazada belanja online barang pesan warna kuning harga nya k nyata terima lazy pod bahan plastik jepit putar pesan jepit tekan kecewa barang kirim kirim barang coba barang rusak alias patah bahan plastik,negative
gatau fitur dihilangin sumpah sayang banget plis vip plaza free ongkir lg yg ga pake minimum payment yg nyayangin fitur hilang,negative
bad voucher system can t pay with visa or master for promotional items expired promo voucher but still put on promo banner bad customer service,negative
sistem bayar aman,positive
tunggu kece data live support jam balas barang order dr tgl desember desember status tunggu ambil kurir nomor order private info removed mohon solusi blibli com,negative
very easy to use,positive
the best emall,positive
pesan kamera tanggal dikirimkirim proses mesan udh transfer uang nya gimana ni mohon responnya,negative
always give discount and promo,positive
barang yg sesuai deskripsi powerbank mah,positive
shortcut khusus beli token listrik,positive
promo gratis ongkos pengirimina,positive
bagus bagus detail kena formasi kursi arti calon tumpang kursi baris baris pilih kursi batas gap kursi sulit kursi ambil terima kasih,positive
tgl sept sy order philips avent no order tgl sept order sy tp cacat produk sy blibli pd tgl sept blibli bhw produk tsb cacat sy refund dana tgl sept blibli janji dana masuk rekening sy bpdkal m dlm kerja dr kerja dana tdk masuk nyata tgl october sy info bhw bank tuju bpdkal m kendala menrima transfer sy rek yg sy ganti dg rek bank br nyata dr tgl okto smpai okto dana sy masuk jg mohon blibli itikad dana sy,negative
pemgiriman nya no pesan private info removed order tanggal maret tanggal maret status tunggu ambil kurir blibli ga kurir ngga nganter barang blibli status tunggu ambil kurir pandang baca silah review aja buyer alam masingmasing dah aja review ane first order sedih,positive
tmpt belanja aman,positive
belit belit murah,positive
buka lapak puas pelang buka lapak nama tipu tipu adminya responya cepat masuk klw utama media pengirimanya yg memeng berkualiatas barang yg konsumen rusak akibat kurir pengirimanya maju teru ber inofasi kembang bal,positive
beli buah action cam tulis accessories ikan gratis gambar deskripsi beda gambar free waterproof deskripsi tulis barang beli terima pas deskripsi barang,negative
tolong perhati charge fee utk beli yg bayar kredit card ga salah fee nya tiket com untung dr fee kredit card tiket com charge nya langit pikir tiket com pilih beli tiket online,negative
komplain langsung ditindaklanjuti yg customer perhati aman yg lihat foto takut tdk sesuai nyata vendor tawar barang selisih harga utk barang yg shg beli ragu yg yg takut beli yg murah barang cepat rusak harap selisih harga barang jgn utk harga yg,positive
parah bgt gan kapok belanja lazada murah aja ditawarin konsumen cek muasal en asli barang beli iphone eh gak tau aksesoris palsu barang dipake minggu sinyal udah ilang searching mulu udah proses uang ribetnya mati terang proses kerja beres nyatamya udah kerja kelar stress gak tuh kampret yg coba belanja website mending pikir x nyesel mending lu toko liat barang lu bayar mahal dikit gpp dapet barang refurbish reject palsi bekas mampus aja kek gua,negative
kemarin terima barang beli ukur xs barang ukur l detail produk ukur xs s m butuh ukur xs mohon bantu,negative
kali beli produk muas produk lengkap bayar mudah packingnya rapih status kirim ditrack cepat kirim wilayah jakarta utama paket kirim langsung kurir blibli thanks blibli,positive
batal sistem heheheheh,negative
batas,negative
beli celana wanita acara blibli ekstra pedas tanggal untung beli harga rp bayar via klikpay bca bayar hasil status blibli barang proses kesal tanggal cek status mesan proses chat cs blibli knp pesan proses cs blibli bilang barang confirm suplier kaget loh nyata stock barang gudang suplier cs janji usaha konfirmasi suplier besok tgl status mesan ubah chat cs blibli saudara wahyu confirm supplier permaslahannya blibli investigasi aneh usaha shopping online blibli jual barang nyata barang kesal puncak tgl status mesan proses chat vino enak hati bilang pesan investigasi sedia tunggu kerja halooooo blibli klo niat promo ekstra pedas tutup jual online barang indent tunggu niat blibli klo consumen kecewa shopping online wajib kompensasi waspada,negative
singkat butuh cepat desain sederhana internet cepat rendah modem koneksi terima kasih solusi,negative
rencana dadak kota bantu tiket com cepat mudah transaksi snagat percaya moga dapt tingkat layan tahan layak terima kasih,positive
many options for payment method many product with low price guarantee many voucher discount,positive
suka belanja jamin aman lapak ok thank s bukalapak maju sukses,positive
order aplikasi error kirim kantor bl tolong kirim alamat responnya laaaaaamaaaaaa minggu ongkir bayar,negative
bayar online atm tunggu jam verifikasi bayar tunggu jam terbit evoucher online agen,negative
sistem cari kategori barang search menu nyaman mudah moga rubah,positive
tranksaksi bukalapak muas,positive
lazada jual hp rusak tanggal desember tanggal yg hp proses yg belit belit kabar uang lazada pernahemberikannya,negative
respon nya lambat gimana saing lapak belah gojek pesan pagi siang klao lazada minggu dikirim ga lazada tahan saing service sepertimya belanja terakhor lazada,negative
kendala ongkir cuman beda aja bukti fisik jual bukti fisik agen d sms resi toped ya ga hati aja jual yg resi pake dsms kurir yg dminta upload bukti fisik krn beda ongkir ga teliti simpan resi,negative
bayar atm bni ya,positive
bgt belanja lazada lancaaar bgt mudah konfirmasi cpt brg cpt proses ganti trf nya pake virtual account bener kecewa bgt udh trf sms suruh trf eh kmudian batalin trus uang nyangkut deh superbb ribeeeeettt kecewa,negative
kali kali belanja tokopedia respon,positive
kirim uang konfirmasi bayar customers care nya balas kecewa,negative
sulit bayar kartu kredit orang milik,negative
layan cepat packing bagus kirim cepat bebas ongkir lg,positive
uang yg sya ragu dgn sistem transfer cari produk yg bayar comot produk ehh tau nya pilih cicil indomart transfer gagal deh belanja tulis bayar tdak ya blibli com thankzz,negative
sy kecewa belanja bukalapak lantar ekspedisi jne yg nyasar alamat plus nyasar lg orang yg nama tp nomor hp n almtnya beda saran bukalapak konfirmasi barang sdh sampe sasar kurir si jual sj yg kesimpulanya transaksi selesai anggap selesai yg sy kesel belanja online jd repot mondarmandir jne dukung dr bukalapak,negative
