no|title|text|senti_value;;
20|Jangan beli disini bagi yang mau barangnya datang cepat|Bagi kamu yang mau beli-beli barang di Bhinneka.com dan membutuhkan barang itu secepat mungkin, jangan beli di Bhinneka. Saya melakukan pembayaran dari tanggal 7 Oktober 2016, menurut iklannya barang dikirim dalam 2-4 hari kerja. Tp sekarang udah 5 hari kerja dan ternyata baru dikasih ke kurir. Bagi saya yang butuh banget barang yang saya beli supaya tiba sedini mungkin, pengalaman belanja online seperti ini bener-bener buruk.|2;;
22|Mengecewakan|Saya membeli batre dan chargernya dan membayar langsung transfer via bank mandiri tgl 4 septmber 2016 di keterangan barang akan dikirim pada hari yang sama.tapi kenyataan sampai sekarang barang di pantau di order traking masih dalam proses.mengingat barang itu penting karena mau di pakai. Melihat banyak pembeli yang komplain jelek tentang bhineka saya jadi ragu dengan profesionalitas bhineka.dan ini pengalaman pertama saya sekaligus pengalaman terakhir belanja di bhineka responnya berbeda dengan toko online lain.|1;;
23|sangat tidak profesional|respon lambat kesan nya seperti tidak bertanggung jawab, mendapatkan barang dalam keadaan rusak tetapi sangat sulit mereturn nya atau merefundnya. ini adalah pengalaman buruk pertama saya berbelanja online dan saya dapatkan itu dari bhinneka.|1;;
24|mehhhh|beli logitech G710+, sampai dirumah dengan tidak selamat.. kotak keyboard yang penyok disana sini, keycaps yang copot berantakan di beberapa tempat, SEGEL yang TELAH terbuka, dikirim TANPA bubblewrap cuma plastik pembungkus makanan, dan plastik pembungkus keyboard yang sudah setengah sobek.. seolah-olah dapet keyboard second hand.. entah ini salah dari pengiriman atau pas packing tapi kalo pas dapetnya berantakan gini sih kecewa berat..|1;;
30|Bakal nyesel deh|pikir-pikir dulu deh kalo mau belanja di bhineka.com. ini pengalaman pribadi saya setelah dua kali melakukan pembelian online di bhineka, pembelian pertama saya bisa dibilang berjalan lancar dalam waktu 4 hari barang pesanan sebuat hardisk eksternal telah sampai. nah atas dasar itulah saya kembali memesan sebuah smartphone di bhineka, tanggal 1 september 2016 saya order dan saya bayar lunas tanggal 2 september, namun baru pada tanggal 5 september 2016 saya mendapatkan email bahwa pembayaran saya diterima, buset dah ini bhineka ngapain aja.... sesuai diiklan barang saya akan dikirim 2-4 hari kerja setelah pembayaran diterima, namun sampai hari ini tanggal 9 sept 2016 belum juga dikirim, saya sudah beberapa kali mengubungi CS bhineka melalui email dan chat jawabannya selalu saja sama yaitu produk yang saya pesan dalam proses penyiapan unit. padahal itu barang buat kado hadiah ultah mesti berapa lama lagi harus menunggu. sudah lebih dari seminggu nih, padahal awalnya saya sudah percaya pada bhineka namun karena peristiwa ini saya jadi nyesal belanja disini dan ngak akan lagi dah. sekedar saran buat yang akan belanja di bhineka lebih baik tanyakan dulu ketersediaan stok agar ngak neyesel nih nungguin lama kayak saya.|2;;
35|Sangat Buruk|Saya pada tanggal 24 Juni 2016 melakukan pembelian kamera saku di Bhinneka, sebelum saya memutusukan untuk membeli jelas sekali tertulis Barang akan dikirim di hari yang sama. Kemudian pada tanggal 28 Juni 2016 menghubungi pihak Bhinneka melalui fasilitas Chat with Us, dan menanyakan perihal orderan saya, eh tiba-tiba CS memberi link akan produk yang saya beli dan tulisan nya berubah menjadi barang akan dikirim setelah 2-4 hari kerja. Pada hari ini 30 Juni 2016 saya menghubungi kembali pihak Bhinneka melalui fasilitas chat with us, menanyakan order saya, lha kok belum dikirim juga, dan ketika saya membuka produk detail pembelian yang ada, keterengan nya kembali menjadi Barang akan dikirim dihari yang sama. Pertama CS bilang barang akan dikirim dalam waktu 1 x 24 jam dari pembicaraan kami dan akan segera memberi nomor airway bill. Setelah saya memaksa dan tidak mau menunggu lagi tiba-tiba CS bilang barang sudah kirim hari ini juga, tetapi tidak dapat memastikan kapan akan sampai dialamat pengiriman. Sewaktu saya memperjelas bahwa saat melakukan pembelian jelas2 saya membaca bahwa barang akan dikirim di hari yang sama, CS berdalih bahwa belum ada update di system mereka, lah saya bilang dong, ada update atau belum itu bukan masalah saya. Karena jelas2 sudah berbohong akhirnya saya memutuskan untuk membatalkan transaksi tersebut dan CS bilang tidak bisa karena sudah dalam pengiriman. Dan akhirnya saya ngotot untuk membatalkan transaksi tersebut, setelah satu jam tanpa jawaban akhirnya CS bilang bahwa transaksi tersebut telah di batalkan dan akan di void untuk pendebetan di CC saya. Ya semoga uang saya balik ya... Bhinneka = Tukang Bohong|1;;
"40|Tidak bisa dipercaya, sangat menyesal belanja di Bhinneka.com|""Tgl 4 Jun 16 saya belanja di Bhinneka.com dengan nominal diatas 5jt rupiah. Karena ini untuk hadiah ulang tahun di tgl 6 Jun 16, CS (by chat) berjanji barang akan dikirim tgl 6 Jun 16. Ternyata di tgl 6 Jun 16, tanggal yang dijanjikan, barang yang saya beli tidak datang, tgl 7 Jun 16 saya tanyakan lagi ke CS (by chat) katanya """"ditunggu saja"""" . Sampai hari ini, tgl 14 Jun 16, sudah 10 hari berlalu, barang belum juga saya terima, saya kirim email ke CS, dapat jawaban yang sama, diminta kesediaan untuk menunggu lagi, dan ternyata di email disebutkan kalau tgl 8 Jun 16 barang yang saya order baru dikirim oleh Bhinneka.com ke JNE. Padahal janji di awal tgl 6 Jun 16 harusnya sudah saya terima. Selain itu di websitenya juga tertulis """"dikirim dihari yang sama untuk transaksi sebelum jam 16.00"""". Bagaimana bisa menepati janji mengirim dihari yang sama? dihari yang tidak sama saja sampai 10 hari tidak terkirim, padahal alamat pengiriman di Bekasi, tidak jauh dari pusat Bhinneka.com (Jakarta), apalagi kalau jauh dari Jakarta. Ampuunnnnn... Ga tahu nih harus nunggu berapa lama lagi nih.... :(""|1";;
43|KECEWA|Beli barang dari tanggal 1 Juni sampai sekarang 8 Juni status masih proses, padahal pesan barang hari itu juga dan dibayar saat itu juga biar cepet sampainya. Tapi ternyata percuma ! Setiap CS dihubungi alasan tetap sama yaitu masih proses, tunggu konfirmasi 1x24 jam tapi sudah lewat dari waktunya hasil nya NIHIL ! Terima kasih untuk kesan pertamanya. Sepertinya tidak akan belanja disini lagi...|1;;
44|Belum layak dapat Bintang|Baguslah ada Trustedcompany sebagai mediator antara pelanggan dengan pebisnis online sehingga khalayak luas bisa tau mana bisnis online yang terpercaya dgn bisnis online yang abal2 dan mengabaikan kepentingan/kepuasan pelanggan. sebetulnya cukup mudah untuk menilainya tinggal di compair aja pelanggan yang puas dan pelanggan yang tidak puas/kecewa dengan situs belanja online tsb lebih dominan yang mana. Sayapun pernah dan sudah dua kali dikecewakan oleh bhinneka.com kebetulan dua2nya saya belanja memakai voucher kupon dan dua2nya di tolak dengan alasan klasik barang tidak tersedia...( Aneh dan lucunya barang tersebut masih ada di etalase ) dan yang lebih mengagetkan lagi ketika saya minta direfund ternyata pengembalian dananya menyusut cukup signifikan...Alaaamaaak . Sepertinya memang bhinneka.com belum layak mendapatkan Bintang jikalau masih ada bintang lagi yang warnanya merah dibelakang bintang kuning pasti saya akan memilih bintang yang merah..|1;;
53|ajuurrrr... kapok belanja di bhinneka.comu|Senin, 4 Januari 2016 sekitar jam 6 sore saya memesan 1 unit Sony Xperia Z Ultra ke Bhinneka.com melalui telepon ke marketing dan sesuai kesepakatan akan diantar hari kamis atau jumat dengan metode pembayaran COD cicilan kartu kredit dengan nomer order SO[private info removed]. Saya memesan ke marketing yg bernama Taufik Faisal dan diinformasikan bahwa barang ready stock hanya tidak ada di gudang, namun akan langsung diambilkan ke distributor. Pada hari selasa pagi sekitar jam 10 saya tanya lagi melalui live chat apa HP yang saya inginkan tersebut masih ada dan dikatakan bahwa tenang saja karena barang ready stock. Namun pada selasa sore HP tersebut hilang dari list web nya bhinneka.com dan saya berusaha kembali menghubungi sdr Faisal hanya dikatakan pada hari selasa itu sedang tidak masuk kantor. Akhirnya pada hari rabu jam 10 pagi saya berhasil menghubungi dan menyanyakan perihal pesanan saya dan kenapa HP tersebut dihapus dari web. Dengan tergopoh2 dia mengatakan bahwa barang sedang kosong dan menunggu pre order sekitar 4-6 minggu. Dan ketika saya tanyakan apakah pasti dalam 4-6 minggu pasti datang dia tidak bisa memberi kepastian. Kalau barang memang tidak ada kenapa saya tidak dihubungi perihal pembatalan pembelian tersebut? Dan beberapa kali saya tanya kenapa selalu menjawab tenang saja karena barang ready stock? Untung saja saya melakukan pemesanan COD jadi pembayaran belum saya lakukan. Saya sangat kecewa dengan pelayanan bhinneka.com yang buruk dan kurang responsif. Untuk memghubungi sdr Faisal saya sampai menghabiskan pulsa sekitar 40 ribu. Saat saya melakukan pemesanan dengan semangatnya diterima telepon saya, tp saat ternyata barangnya kosong mereka diam saja dan tidak ada yang menginfokan kepada saya.|1;;
54|belum|belum pernah belanja di bhinneka|1;;
56|Ajaib!! Tapii Nyata!!|Cuma di Bhinneka pembeli bisa maksa klaim retur sampai di rumahnya yang beda provinsi, di hari yang sama dalam 24 jam, dan penjual disuruh nyamperin ke rumahnya. Dan diturutin Bhinneka, yang juga ikutan maksa penjual keliling kota. Ajaib !|1;;
58|Bad quality of the cheap computer accs,|Bad quality of the cheap computer accs, ex: media card reader not properly functioning, delivery fee did not free.|2;;
60|Mengecewakan, meremehkan pelanggan, dan tidak mau ganti rugi|Saya memesan barang senilai 400 ribu. TANGGAL 1 saya melakukan pembayaran, setelah TANGGAL 5 saya input no. pesanan, dan status MASIH dalam proses, dg update terakhir tanggal 1, dan tanggal 5 saya cek itu BELUM ADA no resi. JNE Lalu saya menghubungi customer service, pengalaman saya : 1.) Saya sering menunggu lama waktu menelpon. 2.) Untuk pesanan saya yg 400 ribu kali ini, saya menelpon sampai MENUNGGU 7 MENIT* lalu tepon saya putus. Lalu saya telpon ulang. CS tetap sama. Lalu saya tanya, kemana tadi 7 MENIT SAYA DISURUH MENUNGGU tidak jelas? Lho memangnya sesulit apa mencari kode JNE dg no ID pesanan saya? Saya tanya Bhinneka mau ganti rugi pulsa saya? CS Arif malah ketawa2. Mengecewakan sekali, bisnis besar dikelola orang gila seperti ini. *Saya pakai stopwatch, karena pengalaman saya menunggu lama di CS Bhinneka, tapi yg terakhir ini lama sekali, hanya untuk mencari kode JNE, yg seharusnya sangat mudah dan cepat|1;;
63|Mahal mahal|Blom nyoba No coment|1;;
66|menyesal belanja disini|saya pesan barang tgl 2juni sampai skrg tgl 9juni barang masih blm sampai juga. saya lihat di tracking TIKI baru manifested di jakarta tgl 9juni. jadi pesanan saya dari tgl 2jun jalan2 kemana aja???? ini terakhir kali saya belanja di bhinneka. TIDAK AKAN PERNAH SAYA MEMBUKA WEB BHINNEKA LAGI. selama saya belanja online tidak pernah saya alami selama ini waktu pengiriman.|1;;
67|Mahalllllll|Mahal2 barangnya|1;;
72|namanya susah di ingat|kurang lengkap barang nya|1;;
74|Ga tau|Ga tu|1;;
85|Product qualty high|I can't buying|1;;
91|Good|Good enough|2;;
95|poor|overprice|2;;
96|Pelayanan Buruk dari Seller|Blanja.com jauh dari situs ecommerce lainnya, respons seller terlampau lambat. butuh waktu 3 hari barang baru dikirim. Terkadang nomor yang diinputkan di web juga non-aktif. Konfirmasi penggunaan Voucher H+1 juga makan waktu, dan tidak ada quick-info apabila voucher valid atau enggak. poor|2;;
108|PENGALAMAN PAHIT BELANJA ONLINE DI WWW.BLANJA.COM|Pada bulan Januari saya ada beberapa kali di beberapa tanggal (01/01/16,03/01/16,10/01/16, 29/01/16) belanja online di www.blanja.com dengan menggunakan kartu kredit. Namun setelah 3-4 hari dari tanggal tersebut saya diinformasikan bahwa orderan saya dicancel oleh pihak Blanja.com. Pembatalah sepihak oleh Blanja.com tidak saya permasalahkan, namun alangkah kagetnya setelah saya cek tagihan kartu kredit saya, ternyata ada pemotongan 3% dari dana yang dikreditkan kembali ke rekening kartu kredit. Pada saat itu saya berusaha menghubungi call center Blanja.com dan dari pihak Blanja.com memberikan penjelasan bahwa pemotongan itu dilakukan oleh pihak bank penerbit kartu kredit, dan saat itu juga saya menghubungi bank penerbit kartu kredit untuk menanyakan perihal pemotongan 3% itu dan pihak bank tidak pernah melakukan pemotongan 3% kepada nasabah pemegang kartu kredit. Saya berusaha meminta penjelasan dan pengembalian dana 3% yang mereka potong namun pihak Blanja.com selalu mengatakan bahwa charge 3% dikarenakan saya melanggar syarat dan ketentuan penggunaan voucher dan promo dan charge itu mereka lakukan karena adanya biaya tambahan dari penggunaan kartu kredit. Saya mengatakan bahwa e-commerce lain tidak ada pemotongan ini walaupun transaksi dibatalkan namun pihak Blanja.com mengatakan masing-masing e-commerce memiliki kebijakan yang berbeda. Namun menurut saya ini kebijakan yang agak aneh, dan sangat merugikan kami selaku pembeli di www.Blanja.com. Setelah debat kusir yang tak kunjung membuahkan hasil akhirnya saya putuskan untuk tidak belanja lagi di www.Blanja.com dan meminta mereka untuk menutup account saya dan jangan melakukan email blast mengenai promo-promo yang menjebak ke email saya. Dan sampai hari ini email mengenai promo Blanja.com selalu memenuhi inbox email saya. Melalui tulisan ini saya ingin memperingatkan kepada para pecinta belanja online agar berhati-hati jika ingin menikmati promo di www.Blanja.com, semoga pengalaman pahit saya tidak terjadi kepada anda.|1;;
109|Astagfirullah|Live chat dicoba berkali2, sibuk terus, mungkin adminnya cuma satu kali ya. pesanan gk dikirim2, kapok deh, gk mau lagi. pertama kali order udah diginiin, semoga maju terus deh|1;;
110|belum pernah belanja|belum pernah belanja|2;;
111|gak keren|pokoknya gak keren, search term nya ribet terus kategori mappingnya acak adul. platformnya gak banget|2;;
114|SITUS JUAL BELI ONLINE TERBURUK SEINDONESIA|Saya mesan HP udah 5 hari tidak dikirim juga, udah gak enak hati saya refund, dan alhasil seller slow respon padahal online dan barang terus diupdate, tak ada tindak lanjut dari CS yang bilang kami sudah menghubungi seller tidak ada respon dan mohon tunggu 3 hari kedepan, KOPLAK! setelah refund berhasil, mencairkan dana butuh waktu 7 hari lagi KOPLAK! kapok ini kisah terakhir saya belanja di blanja.com sungguh tragis tapi apaboleh dikata situs memang ranting jelek|1;;
115|Pengalaman belanja melalui situs online ut|Ini merupakan pengalaman pertama saya dalam berbelanja online. Pada 3 januari 2016 kemarin saya membeli power bank di situs belanja online bl***ja dengan seller dream c**y.. Setelah 3 hari di proses powerbank saya pun di kirim. Namun cukup mengecewakan barang yg saya terima tidak bisa di gunakan karena rusak. Kmdian ada kesepakatan antara saya dan seller.. Ketika saya mengirim kembali brg trsbt ke seller, seller jg lgsg mengirim brg yg baru. Namun stlh saya kembalikan brg trsbt ke seller dan sudah d terima seller, tp seller tdk mengirim brg yg baru.. Stlh saya tunggu bbrp hri saya pin bertanya pd customer service .. Sblmnya saya pernh mencoba email seller tp tdk prnh d balas. Untungny karena bntuan dr customer bla**ja uang saya di kembalikan.. Tp saya cukup kecewa dgn seller yg tidk bertgg jawab bahkan tdk prnh meminta maaf. Ini menjadi pelajaran bagi saya|1;;
116|Good|Good enough|2;;
119|parah2 jangan belanja disini|ecommerce paling aneh pembatalan pesanan secara sepihak plus anda dapat surprise dana anda ditilep sebesar 3% atau 10000 rupiah jika tanpa cc|1;;
120|Pengiriman yg lama Dan Seller 80% cuekk..|Pengiriman lama dan barang pesanan tidak segera ditangani ,,,apalg sellernya lambat responnya ..memang masih terbilang jauh untuk bisa dikatakan eccommerce terbaik dikelasnya...klo di eccomerce lain,,hari ini order dan transfer langsung sigap diproses ..klo di blanja bingung ..seller gak respon..dan saling lempar ..ahh sudahlah..,,perbaiki dong manajemennya klo ingin jd TERBAIK...|2;;
"123|PENIPUAN! Jadi MErchant uang gak cair gan!|""Sudah melakukan penarikan saldo sejak 14 Desember dan sampai sekarang 16 Januari tidak ada transferan masuk. di email ke customer service, eh dg gampangnya bilang """"12 januari ya?"""" Proses seminggu ya. Keliatan dari niat gak di baca komplainan, padahal di judul dan isi sudah saya cantumkan tanggal penarikan, beserta nomor transaksi penarikan. terakhir di email, SUdah di transfer 15 Januari, mohon di cek di rekening. saya tunggu sampai tgl 16 tidak ada uang masuk dari blanja. ternyata ada juga merchant lain yang mengalami hal serupa, kenapa tidak lapor polisi? atas kasus penipuan""|1";;
"124|transaksi blanja.com barang rusak dan pulsa tidak di tranfer|""mohon tiket ini jangan di tutup dulu mana tranfer pulsa anda, ? mana tranfer uang kembalian ke kartu kredit ? biasa saya belanja di """" lazada """" ada kesalahan dari mereka lebih """"tanggap"""" dan ada """"pemberian rewards"""" (uang di kembalikan dan di kasih voucer belanja di lazada) saya nyesel belanja di toko anda kalau pihak blanja tidak percaya akan saya lampirkan saya sangat kecewa cuma di kasih janji pengembalian ber-hati2 di Blanja.com mitra ebay penipu saya transaksi di blanja.com Joint Venture Antara telkom dan ebay saya sudah memberi batas waktu yang cukup lama """"sehingga shering ini saya buat: konsumen online tidak terjebak seperti saya"""" transaksi saya: * pembelian power bank anda kirim barang rusak sekarang sudah saya kirim balik dengan no resi cgk2h[private info removed], rasa tanggung jawab dari anda bagaimana??? respon saya dengan toko power bank attac bukti terlampir * pembelian pulsa sebanyak 3 x yang dikirim baru 2 X attac bukti terlampir *bukti email-email pihak blanja online meng-ulur-ulur waktu dengan durasi cukup lama attach terlampir dari email-email * Apabila aturan dari anda cuma beli pulsa cuma 1 x mohon dana saya yang sudah di debet untuk di kembalikan bukan di gantung2 atau di pending-pending *apabila pihak blanja tidak di beritahu atau tidak di ingatkan berikut email bukti dari saya tgl 5 jan 09:47 dear team belanja lama-lama beli di toko online anda bertele-tele apabila sampai tgl 10 januari transaksi tidak beres saya akan buat di surat pembaca dan media sosial , saya muat semua transaksi meskipun itu cuma 1 rupiah , yang sudah kedebet tapi barang ada yang dikasih rusak, pulsa tidak kekirim """"""""""""""""Apabila aturan dari anda cuma beli pulsa cuma 1 x mohon dana saya yang sudah di debet untuk di kembalikan bukan di gantung2 atau di pending-pending """""""""""" ----> mungkin mau dimakan uang anda *====> semua transaksi memang tidak seberapa buat pembeli online lain namun dengan artikel ini kalian harus berhati-hati dengan etikat baik """"pihak penjual online"""" salam online http://m.kaskus.co.id/post/5691550b12e257c52e8b4569#post5691550b12e257c5...""|1";;
128|Kurang|Kurang dan banyak seller tidak membalas.|1;;
131|Tidak ada respon|Kecewa banget belanja di blanja.com..bayar dr tgl 27 nopember 2015, sampai hari ini ngak ada respon sama sekali. Di tel ke call centre ngk di angkat.. bawa nama besar doang mitra ebay...|1;;
132|kecewa|Tolonglah di perbaiki lagi sistem pembayarannya .saya beli pulsa tangggal 09 desember 2015 tapi sampai saat ini tanggal 14 desember 2015 pulsa masih belum masuk,saya cek statusnya transaksi selesai. tolong kepada pihak pejual [private info removed] transaksi dengan No. [private info removed] agar segera di proses...thanks.|1;;
134|Pengembalian Dana Tidak Jelas|Saya pernah pesan barang, sudah transfer, kemudian transaksi DIBATALKAN OLEH PIHAK BLANJA, karena ada indikasi penyalahgunaan apalah. Oke, saya tunggu pengembalian dananya aja lah. Eh ini udah 3 mingguan kok nggak ada kabar. Saya coba cek akun via web, untuk tau status pengembalian dana. Ternyata nggak ada history-nya, padahal ada order lain yang belum sampai bayar, ada tuh history-nya. Bingung saya cari nomor ordernya. Ubek-ubek email, kok ga ketemu. Padahal email transaksi ga pernah saya hapus, bahkan email internet banking-nya ada. Untung saya pernah screenshot (dulu sempat mau komplain ke seller karena saya kira yang membatalkan seller), jadi bisa komplain ke CS-nya. Ya, semoga aja bisa segera kelar. Padahal dulu pernah beli di shopee, dicancel seller, uang langsung balik cepet. Tempat lain malah belum pernah kena cancel.|2;;
136|Belom pernah mencoba|Teruslah berinovasi|2;;
140|Refund dari kasus sepulsa taunya uang id di blanja.com|Istri gw beli pulsa di blanja.com dgn vendor sepulsa.com 12.500 dpt pulsa 25.000 Taunya udh seminggu ga dikirim2 jg, komplen ke blanja.com eh diganti uang id doank nominal 12.500, dikata sama apa uang asli ama uang cyber yg maksa orang belanja br bisa kerasa uangnya?!!!! Asli ga ridho gw, gw mau uang asli gw balik, pokoknya sampe kapanpun gw hina abis2an ini blanja.com ke semua tmen2, keluarga dan mitra2 kantor dan bisnis gw sebelon masalah soal pulsa ini kelar.|1;;
141|Jadi merchant di sana gak dibayar|Tempat lain seperti tokopedia dan bukalapak langsug bayar begitu transaksi selesai. Blanja bisa buka invpice sampai 3 bulan duit gak ada bahkan di report seller. Padahal saya sampai di email minta tolong semua barang dikirim. Bingung saya perusahaan sebesar ebay dan telkom kok bisa-bisanya kacau begini.|1;;
143|KAPOK ! JANGAN BELI DISINI !|awalnya baikbaik saja, tetapi lama kelamaan malah memburuk belanja disini. 5 hari tidak ada pengiriman, malah langsung di cancel. dan saya dibilang trader/reseller. CS sangat tidak komunikatif, pelayanannya sangat buruk. dan PARAHNYA LAGI, SETIAP REFUND DIPOTONG 10.000, jadi 10.000nya masuk ke kantong blanja.com ! udah gitu utk transaksinya HANYA ADA BANK PERMATA. WEBSITENYA BURUK, APPLIKASI BURUK, dan pilihan barang SEDIKIT. SEMUA BENAR BENAR BURUK !|1;;
144|PARAH|mikir2 belanja di sini mah, klo kena cancel kena fee 10rb atau 3% klo kartu kredit, dana balik lagi aja 2-3 hari, pas cairinnya aja 7 hari. mikir|1;;
145|Ga tau|Kurang tahu|1;;
"151|terTIPU pulsa murah!!!!!|""hindari bertransaksi di blanja.com, pengalaman saya pribadi pd tgl 5 november kmrin saya membeli pulsa 25rb dg harga 12.5ribu pernyataan seller maksimal 3 hari kerja. stelah satu minggu pesanan blum jg dikirim, saya kirim email yg pertama ke cs blanja.com dan dpt balasan """"sedang diproses"""", hingga bbrp hari kmudian pesanan blum juga dikirim, saya kirim email lg yg ke 2 dan dpt balasan """"pihak seller sedang mengalami down server"""" dan hingga saat ini tgl 27 november ketika saya coba cek status pesanan saya alngkah terkejutnya saya ketika melihat status pemesanan dan history pembelian di akun saya ternyata pesanan saya yg belum pernah dikirim ini sudah tidak ada lagi/HILANG... sedangkan history pembelian lainnya baik yg sukses maupun yg dibatalkan masih tetap tersedia, semoga ini bisa jadi pelajaran juga buat saudara2 lainnya.""|1";;
153|AMPUN BIKIN KAPOK|Seller gak respon udah tunggu berhari hari akhirnya batal otomatis, di toko online sebelah hari ini belanja,hari ini barang sampai ,paling lambat 1x24 jam|1;;
154|lelah jualan disini|biar bintang yang berbicara sudah lelah banyak komplain ke sana|1;;
155|ECOMMERCE TERBURUK DI DUNIA.|BLANJA.COM E COMMERCE TERBURUK DI DUNIA. ORDER DIBATALKAN DAN PARAHNYA MASIH DIPOTONG 10 RIBU. PADAHAL YANG MEMBATALKAN PIHAK BLANJA SENDIRI MASAK BIAYA DIBEBANKAN KE BUYER. BUDAYA KORUPSI NIH|1;;
"157|""Penggunaan Voucher yang sering kali """"gagal""""""|""Seringkali, penilaian Blanja terhadap pembeli yang """"dituduh"""" sebagai trader / reseller sungguh menusuk, karena saat diminta pembuktian selalu mengelak. Padahal pembeli hanya membeli 1 unit saja...""|2";;
158|slow respon|produk dijual tidak jelas harga murah tapi sold out|1;;
162|!!!!!!! TOTALLY SLOW RESPONSE!!!!!!!|Tiga kali saya belanja di blanja.com :!!!!! TOTALLY SLOW RESPONSE!!!!!! Customer Service dan Seller are CUCOK!!!!!..... Di SMS & TELPON hampir tidak dijawab! waktu saya terganggu, bagaimana tidak barang yang di beli, yang di harap hati jadi senang. menerima kiriman jadi rasa setahun menunggu!. Saya pengguna kartu Halo menukarkan poin untuk belanja, dan poin hangus setelah di refund, menghubungi ke Telkomsel jadi Cucok kembali menunggu dan menunggu proses kembalinya poin saya.... USELESS!!!!!! Ini Online Shopping seharusnya jangan main-main, CUSTOMER dan SERVICE adalah nomor 1, apalagi MEMAKAI branded terkemuka EBAY & TELKOMSEL!|1;;
