Sentence,Label
well mengamatai timbang putus belanja online pilih jatuh blibli com tgl  juli    transaksi situs online blibli com baca alam barang dikrenakan stock habis kece customer care blibli sedia barang barang ready stock customer care blibli jelas muas tunggu proses kirim yangsaya harap makan jakarta moga kualitas barang terima puas layan customer carenya barang terima tulis review sharing ini tulis  july  hai semua telah kemarin puas atas silah baca  july terima produk pesan note memeasan  tv sharp led lclem dispenser green tara terima tv produk kirim sedia blibli dispenser sedia merchant hingga tulis status dispenser mesan maklum banyak blibli pesan merchant butuh ketimbang produk sedia dikirmkan langsung blibli samapai puas layan blibli com oke update kait quality of goods kirim buka paket,positive
belum sering transaksi kartu kredit web ti t ai dot com tiket com bereesss mantapp,positive
pesen  dikirim,negative
the best toko online layan muas bisa cod kalo beli barang ukur sesuai tukar pokok mataharimall com toko online nomor wahid deh ga kecewa belanja mataharimall com top markotop,positive
saya order dr tgl    no pesan private info removed estimasi barang diterma  jul  to  jul  status ambil kurir ubah tgl  jul  barang kirim plus no resi private info removed yg sayang detik barang order kunjung datang dan hasil cek resi status barang pindah kurir kurir yg lain soo tunggu lagi,negative
packing tidak sesuai deskripsi kardussss bekassssss,negative
usaha baik kelas,positive
dengan bukalapak mudah cari barang butuh nyaman aman transaksi varian bayar agam,positive
untuk beli blibli com puas barang a tdk yg cacat kirim jg lumayan cepat tapi kl beli p eletranik handphone blibli com garansi a tdk kl ps gratis game udh instal instal sendiri terima kasih,positive
alas pilih bukalapak dikarnakan tipu salah jual beli online kenal bukalapak takut mudah transaksi simpel sistem aman percaya,positive
gak sesuai gambar depan terlalu pendek,negative
sudah baik bisa chat jual belanja tapi sayang tetangga lomba lomba utk free ongkir sini ya jd alih yg free ongkir pdhal ud suka sblmnya dsini,positive
di bukalapak puas beli lapak tahan,positive
yg bikin kecewa pesen  items yg nyampe cuma satu masih saya tunggu kekurangan barangnya uno stacko kayu uno card pcs dan werewolf pcs kalau tidak tolong refund aja uangnya,negative
mes sonyflashdiskgb bayar harga   seller happy shop rosnani barang kantor buka kotak saya cium beres langsung colok laptop teks model nama sony manufacture cek barang adalah kw kenal lazada barang kwnya hadddduuh,negative
layan prima muas,positive
dghkdhgkdfgjsbffkgjjjiehkhngkjsdkjfhsfhseuhfugfasbfkabsb hfhsfhskjfhksugkhfhfhsugkhdauhahfascbiashiajidhaihdoiahfoahfugfahodhaocokcokcokcok,negative
harganya terlalu mahal untuk kualitas setipis itu tapi gpp deh semoga nanti lebih murah,negative
saya puas belanja diskon lumayan sertalayanan prima,positive
niceeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,positive
aman,positive
kecewa dan sangat tdk puas dgn pelayanansejak tgl  setelah order barang saat itu status masih menunggu konfirmasi jadi artinya belum diproses oleh penjual saya melakukan pembatalan karena saya ingin mengganti produk yg akan saya beli di toko yg sama saya konfirmasi penjual melalu chat sampai x untuk minta proses pembatalan sampai malam hari sebelum tidur status masih menunggu konfirmasi yg artinya pesanan saya belum diproses tp kemudian tgl  juli  pagi penjual mengubah statusnya menjadi diproses yg artinya penjual tidak berkenan melakukan pembatalan dan status diubah jadi menunggu kurir masih ditanggal  pagi tapi sampai tgl  barang belum dikirim dan status masih menunggu kurir status pengiriman tidak terupdate penjual menyalahkan pihak provider pengirimanbarang baru dikirim setelat saya lapor ke pihak tokopedia,negative
pesan sesuai konsumen,positive
belanja aman ya bukalapak com nyari aja ada tinggal klik transfer tunggu rumah barang yg qt pesan datang ajaib kan barang tdk uang kembali,negative
blnja buka lapak tenang jamin uang kmbli n tntunya past respon dr lapak,positive
sangat tidak profesional dan transparan krna bsa lacak lokasi barang ada metode kirim kurir lazada barang sampai msih wilayah jabotabek pngiriman local beda situs online lain sekali mengecewakaaannnn,negative
tahan kualitas layan,positive
bebas tipu,positive
senang belanja blibli muas,positive
w lg brosing trus tb pemberitahuan dr lazada kalo w dpt sempat spin mndapatkan hadiah w ikutin aja tu eh dapet iphone s trus w suruh download apl lazada tp emang udah d hp w itu beneran egak ya,negative
the price is competitive but what i really like is almost in all big cities of indonesia there are physical store of matahari mall which can be very beneficial on delivery prices by sending the item to the physical store first then the customers can pick the item on the physical store quite handy eh all in all good job,positive
belanja responnya cepat mudah penggunaannnya suka harga dinego kali harga deal,positive
enjoy simple save pokok enak bgt deh hidup lo bukalapak com,positive
tp alangkah beli  unit ongkir nya gak kali unit jd beli  unit ongkir gak  gitu,positive
terima kasih bukalapak com,negative
hadiah tempat minum lipatnya mana qoq tidak ada  memang ada tulisan selama persediaan masih ada tapi kalau hadiahnya sudah tidak ada jangan ditampilkan lagi itu namanya pembohongan sudah harganya tidak sesuai hadiahnya tidak ada lagi,negative
belanja bukalapak com senang iklan bagus barang lengkap promo jamin uang kembali jauh puas beli laku barang sesuai deskripsi web jadi bingung legowo saja moga kali cegah tsb ulang langgan,positive
saya suka indofood sambal pas manis,positive
sy giur dg hrg miring yg ditwarkan blanja com apalgi embel mitra ebay sya lngsung mlkaukan bayar mesan xiomi i smpai minggu ad konfirmasi barang kirim tidak berkali sy cs janji janji saja tidak ad jelas klo smpai ad jelas sy lapor polisi tipu sprt ini buruk pelannan mitra telkom ini,negative
lama layan bli muas,positive
great,positive
produk ada yang cacatbolong dari pabriknya pengemasan kurang aman barang ada yang pecah karena bantinganbenturan,negative
apakah aman belanja blibli com saya niat beli iphone s takut ori refurbish apakah jamin saya jg bingung garansi internasional dr negara iphone nya dan niat beli max cellular terima kasih,positive
belanja blibli com kecewa sekali barang lengkap freeongkir harga relatif murah banding olshop lain jempol blibli com,positive
alternatif cari barang meng compare harga,positive
fast respon kalo ain jasa kirim jne pos sicepat sicepat barang  jam kalo pake jne minimal order  hari pernah minggu puas kalo pakai jasa pengiriiman jne tsb tingkat layan jasa pengirimanya thanks,positive
lebih belanja bukalapak jamin uang transaksi tdk proses   jam ini milik situs belanja lain dan jual mudah pilih jasa kirim cair dana jual beli sama untung sama senang bukalapak mantap,positive
selalu barang barang butuh yg cari layan cepat harga saing dngn toko belah,positive
belanja blibli com hemat barang cepat sampai semua aman apalagi promo nya dahsyat masih setia blibli merchant recom banget belanja tidak takut kena ongkir karena free ongkir blibli com is the best,positive
tiap beli barang situs buka bukalapak com,positive
jujur sy ragu dalam box tidak ada plastik masih kalah sama yg di bwh sensi ya lebih ke higienisnya sih,negative
sama dengan spos cuci piring yg lain cuma lebih mahal aja,negative
overpriced analisanya kurang dalam kualitas hard cover kurang bagus masa begitu sampe lgsg penyok,negative
bayar m banking internet banking dibatasin buka  jam,negative
puasssssss cari barang aza ada harga murah banding offline aman transaksi mudah pembayarnnya,positive
yg olx edan gmn cari barang jual barang nomer jual aja ada lokasi sekitar wis tutup aja olx klau dulu juga ga fungsi aplikasi bikin lot hp aja ayo pda hapus olx nya biar bangkrut sekali aplikasi bagus bagus susah luncur coba si buat ga hubungin jual cari barang lokasi ya lain klau komplain masuk liat aja,negative
respon lamaproses lama not recomended,negative
good produk good delivery,positive
kembaikan olx fersi,negative
nyaman brrbelanja blibli keluh cs hubung via telp email balas cs keluh pesan dg no pesan barang private info removed yg sy pesan november  kunjung tiba komplain email tanggap ulang kali kirim email balas kesini layan blibli parah kecewa proses tunggu ambil kurir proses barang tiba barang kirim jne barang yg yg lewat batas estimasi kupon cashback  dg pecah   tdak guna dg blibli parah,negative
respon lama tidak koperatif,negative
whats great a company,positive
i dont know maybe because the company are getting bigger the quality and services they provide are getting worse from my latest shopping experience i ve got one broken water spray and the merchant send me  wrong item on the last day of their shipping estimation in the past blibli always surprised me for how fast the shipping process and how great they are doing the quality inspection today i ve just really really feels that maybe if i can get the product from other market place i will not buy something in blibli the price that blibli offer also more expensive compared with other marketplace so maybe i will only buy something in blibli com in the future if there is only a good promo event for daily shopping i ve rather spend my money on other market place thanks by the way blibli com from your former loyal customer,negative
udah transfer tiba barang batal krna stok habis kembali dana bilang d proses udah  bln uang sya blum tuh maaf ya uang sih gak tpi jdi tipu tmen krja sya jg bnyk yg blnja d lazada klo yg bayar d sih emng bner nyampe brg y tapi klo yg pke transfer hati sya sndiri kecewa masih ko bukti transfer sbagainya mkasih,negative
dulu suka pusing mana cari barang bukalapak butuh cari bukalapak jamin transaksi aman percaya bayar mudah,positive
shopping experience easy and secure through mataharimall com,positive
aplikasi bantu pecariin tiket kereta api sesuai utama nomor duduk pilih,positive
anda bekerjasama dg toko online internasional untuk cukup barang yg indonesia,positive
sory yah pesanan ga sesuai minta xxl di deskrisi lebar  panjang  yg datang lebar  panjang  nda muat boss,negative
kalau mau cepet gak blibli sabar ya monggo wkwkkwkwkw,negative
barang tidak sesuai dengan pesanan,negative
barang tidak sesuai  tidak transfaran dan tidak menyala,negative
lama,negative
pesen bak mandi dikirim strap ngaco ditanyain bolak balik malah kaga ada solusi akhirnya saya beli strapnha lagi baru dikirim bak lain kali kalo salah ya akuin salah,negative
cukup menu pilih tawar tetapi kurang benah lapak responsif jauh baikbaik saja,positive
refund tgl  september  flight tgl  oktober  kembali menayakan lwat email customer care traveloka jawab belit belit alasanya tindaklanjuti maskapai travel agent layan sangat kecewa kali kali tidak sekali yang pakai tolong hati,negative
much discount and great product,positive
mau pulkam h bingung smua tiket agen mahal akhir inisiatif coba beli via online ragu banget bayar ini apa lg dngan marak jahat cyber ini saya nekat untk beli desak perintah ortu mnyuruh wajib pulang telah mlakukan bayar mlakui visa mngkuti proses jam tiket boking maskapai thx traveloka gue rekomended k smua tman gue,positive
bargain shopping fixed prices many discounts and quick delivery thank you matahari,positive
maaf sebelumnya bknnya sy mau menjelekan produk tp sy kecewa salah satu gepuk toples warna merah stlah hr ko sudah berjamur pdhl  toples yg lainnya masih wenak bgtzz gepuknya,negative
terlalu lapak dgn harga yg betbeda beda malah jdi bingung nawarnya,negative
dapet yang error nilai ppm kebaca dalam ribuan kualitasnya jeles banget gak dicek dulu sebelum dikirim kecewa dan gak akan beli lagi disini,negative
bantu tiket com sayang review play store blm bagus blm download manual browser,positive
bagus depan,positive
tolong pengiriman punya rasa tanggung jawab ini paket habis berenang di comberan mana dan gak yakin isinya apakah masih bisa di pakai atau masuk bak sampah,negative
bener puas layan blibli order indomie soto harga murah packing rapi kirim cepat lebih estimasi waktu rekomendasi belanja blibli com,positive
sangat tidak recommended dan kecewa kondisi saya akun bukalapak login facebook saya transaksi no transaksi private info removed singkat cerita transaksi tolak uang kembali bentuk saldo bukadompet ketika tarik saldo sebut masuk password login bukalapak karena login via facebook otomatis password saya dan reset password email verifikasi email facebook aktif guna kemudian cari solusi call center bukalapak tapi temu solusi cepat butuh dana cepat saya suruh kirim email proses belit padahal butuh dana cepat yang kecewa  kenapa email verifikasi verifikasi email standar proses verifikasi email kirim email verifikasi verifikasi klik link tentu  proses verifikasi belit sulit tarik saldo guna saldo bukadompet verifikasi  kali password telp  customer care solusi cepat langgan,negative
saya beli hanphone tgl  juli  bayar tgl yg sama sampai informasi apa lazada verifikasi aja kirim kapan konfirmasi bayar laku dr  kali hasil nihil nol besar tak yg laku kecuali yg kapan,negative
saya aziz pesan jam tangan melaui lazada ehhhh barang kirim alas alamat nali kirim aneh no order pesan  nomor resi tik check nomor resi ditracking tik lanjut komplain barang kembali gudang lanjut proses refund aju dan  uang kembali alas investigasi kait dan suruh nunggu nunggu mungkin kiamat lazada tipu kelas cs janji palsu refund kembali inappropriate content removed bener lazada www lazadapenipu com saya kecewa beli toko tipu ini,negative
easy safety trusted,positive
karungnya banyak yg bolong ga sesuai pesanan,negative
berat ngga tajam buat potong daun aja ngga bisa,negative
always give a competitive price,positive
layan cepat jangka transfer cepat,positive
kirim barang cepat oke barang yg sesuai yg robek,negative
tuju bgt comment bawah ttg blibli com sy sdh pesan iphone  dr tgl  mei lalu blm jg barang nya dan status web msh tunggu ambil kurir berhari tdk ubah mau complain cust care no  tdk bs contact live chat berkali jg dpt jwban tunggu wkt estimasi kirim parah bgt bener ga bs dpt solusi dr cust care nya dan spt tdk follow up kapok bgt belanja blibli com byk promo harga lbh murah sedikit kecewa sekali,positive
layan nya cepat mudah aman pasti,positive
pesen ini tp stok habis kecewa,negative
