no|title|text|senti_value
126|Banyak promo|Murah dan bnyk voucher|5
129|Good|"Barangnya baru"" harga sangat terjangkau ga bisa berenti belanja terus.."|5
130|Affordable Price!|Salah satu online shopping sites yg harganya terjangkau bgt & pengirimannya cepat!|4
133|banyak diskon gila2an|banyak diskon gila2an|5
138|Love|Blanja.com terbaikkkkkk. Harga murah, datang barangnya cepat. Sesuai dengan apa yang diinginkan. Nggak kapok deh belanja di blanja.com. Semoga bisa terus lebih baik yaa.|4
142|Very Good|selama ini oke2 aja, saya selalu beli steam wallet disini kalo ada promo hahaha saran : 1. metode transfer via bank jangan cuma ke bank permata dong, kalau bisa semua bank ada virtual account jadi kaga kena biaya admin transfer. 2. sediakan metode pembayaran finpay di applikasi mobile|5
149|Voucher|Menurut saya mereka cukup baik dalam promosi yang menguntungkan pembeli tapi buruknya setiap pesanan yang dicancel pasti dipotong fee|4
150|banyak produck murah dan diskon|cs sering di telp gak menanggapi dan susah untuk di hub. tapi produknya murah murah dan banyak diskon tq belanja|4
156|Nice|Harga terjangkau , lengkap|5
159|Easy|Mudah u/ pemesanan hingga pembayaran.. Mnrt ku yg perlu ditingkatkan promo mobile & dr pc suka beda|5
160|Review terbaik|Yg baik : harga promo krezi kamis Tdk baik : aturan promo yg tdk transparan, pembatalan sepihak|5
161|brg nya murah krn sering promo voucher|yg baik, sering promo voucher yg kurang baik, terkadang brg yg dipesan kosong tapi masih ada dijual di etalase seller, sehingga dicancel sepihak oleh seller|4
167|Baik|Lumayan|5
168|cukup menarik untuk berbelanja di blanja|fasilitas belanja cukup oke sayang web sering down/hang|5
169|Promo yang diberikan sangat menarik, namun kurang konsisten.|#NAME?|4
170|terdiskon|selalu memberikan diskon tinggi pada produk yg ada dalam promo page, namun masih ada kendala pada biaya ongkir yg terkadang tinggi. thx|5
171|Barang dan Promosinya Sangat OK. Customer Servicenya Responsif.|Promosinya bagus, ada barang-barang yang tidak disediakan di tempat lain, customer service nya juga cepat tanggap. Mungkin UI websitenya bisa lebih diperbagus lagi hehe|5
174|lumayan oke|udah 3x beli game ps4 dari sini, 3x jg pake voucher 30%... oke oke aja... semua sampai terakhir beli tgl 21 des.. 22 des di kirim seller, tgl 24 des dah sampe di rumah... mantab, beli BD ps4 baru harga 2nd... thx blanja.com... semoga orderan ane yg ke 4 di ebay lewat blanja.com tetep oke... lama si ga masalah, yg ptg sampe|5
178|Kurang banyak pilihanya|Kalo bisaa di tambah lagii produk nya|4
180|blanja hemat yah di blanja.com, banyak super promonya|"senang banget ada blanja.com karena promonya bener"" dahsyat. kekurangannya itu buat saya yaitu susah berinterkasi langsung dengan seller. semoga ke depan blanja.com menambahkan fitur seperti message with seller atau diskusi tentang produk yang di jual seller. maju terus blanja.com, semakin banyak promo-promo dahsyatnya."|5
181|belanja penuh kejutan|banyak banget promo kamu dapatkan disini, ga khawatir bikin kantong bolong, walo kadang harus sabar buat masuk karena lama loadingnya..|4
182|Kalau promo berlangsung harga sangat murah|Promo kurang informatif, jd kl pas lihat website blanja.com promo sering kehabisan.|5
189|Ga tau tp kasih aja 5 bintang deh|Mantab walau saya ga tau mitra yg satu ini|5
190|Banyak promo|Blanja.com memiliki banyak promo yang menarik. Harga yang ditawarkan sangat murah. Namun sangat disayangkan syarat dan ketentuannya sering kali tidak jelas atau malah datang terlambat|4
191|Bagus|Banyak diskon dan pengiriman cepat|5
192|salah satu ecommerce terbaik saat ini|Baik: barang luar negeri free ongkir, banyak voucher dan banyak program berkala seperti krezi kamis. Tidak baik: keterangan kurang lengkap, seperti program krezi kamis 1 buyer hanya dapat melakukan pembelian sebanyak 5 jenis barang berbeda selama promo krezi kamis berlangsung, saya pikir berlaku untuk 1 minggu tidak bisa membeli 5 item berbeda, ternyata berlaku akumulasi selama program berjalan...|4
193|cukup puas|Order barang di blanja.com cukup puas dengan kualitasnya. Kemarin order bantal aja ada label SNI nya. Karena barangnya murah-murah blanja.com jadi alternatif pertama kalo lagi nyari barang di online shop ^^|5
199|Very good|Good|4
201|Termurah kalau tahu caranya|Selama ini produk yang saya beli adalah produk asli dan awet. Cuma saja bila terjebak di syarat dan ketentuan dan terlanjur membayar maka terpotong dana, jadi sebelum membeli harus teliti syarat dan ketentuannya.|5
202|Surga ny belanja online|Blanja.com menyediakan barang yang cukup beragam dengan harga dan promo diskon yang menarik. Namun kekurangan blanja.com adalah sering nya transaksi di batalkan. Padahal secara system bisa belanja dan uang sudah di bayar. Pembatalan secara sepihak dari blanja memerlukan potongan yang di bebankan ke buyer. Padahal buyer hanya ingin berbelanja dan bisa berbelanja. Lain hal nya jika secara system memang sudah membatasi.|5
207|Wonderful|Sangat memuaskan|5
209|good|very good|5
211|Banyak ragam pilihan|Tingkatkan terus pelayanannya...|5
217|Oke|Mntap|5
219|Great|great|5
220|Rising Star|blanja.com memang masih baru, masih banyak yang perlu dibenahi kaya syarat produk promo yang kadang kurang jelas, tapi so far oke lah. pilihan pembayarannya juga banyak bener, sukses terus!|4
224|Terimakasih Pulsa Telah Sampai|Untung banget belanja di blanja.com dapet promosi pulsa setengah harga. Nunggu 2 hari akhirnya pulsanya masuk juga, just suggest kalau bisa lebih cepat ya min transfernya Thanks|5
226|Oke|Sipp|5
237|ok|Very good|5
241|Bagus|Sering banget bagi2 voucher promo, tapi sayang proses refund dan retur barangnya lumayan ribet|5
242|Great Company|Recommendation of online shopping.|4
243|Jempol|Blanja....terdepan di kelasnya|5
249|"Blanja.com sering"" kasih vocher belanja donk buat pelanggan...."|"Manjain pelanggan donk min..ksih voucher"" belanja gt...."|5
257|Sering eror|Masa sibuk trs klo mo chekout|4
262|Good service|Pelayanannya bagus, diskon nya benar2 mantap. Kualitas produk nya juga bagus|5
267|MURAH DAN AMAN!|Sangat memuaskan dengan promo menariknya, dan mohon sediakan aplikasi mobile untuk Android|5
268|Cukup baik|Baru pertama kali beli di blanja.com awalnya sih bingung tapi beberapa kali bertanya sama cs nya jadi lumayan mengerti, mungkin bisa di tambahin lgi fitur untuk berkomunikasi secara langsung antara penjual dan pembelinya|5
271|Pelayanan sangat memuaskan|Tanggal 3 mei saya order Iphone SE 64gb (gray), harga lumayan murah, trus dapat lg VOUCHER DISKON Rp655rb (thankyou blanja!) :) setelah trf, sy langsung menghubungi seller nya buat konfirmasi klo sy sdh trf dan brharap iphone pesanan sy bisa di keep biar ga kehabisan (kmaren iphone SE nya sisa 6 pcs). besoknya, tepat 24 jam tgl 4 mei barang sy sudah siap dikirim oleh pihak seller. sayangnya, barang baru bisa sy terima tanggal 10 mei karna JNE ngakunya overload. barangnya sy cek, alhamdulillah original (singapore) dan belum diaktivasi. Saran saya buat teman teman yg ingin berbelanja di Blanja.com, baiknya cek dulu rating Sellernya, cek review di setiap produk yg sudah terjual oleh seller. Sesudah transfer baiknya jg langsung menghubungi SELLER NYA buat konfirmasi pembayaran. yang terpenting, jalin komunikasi dengan pihak SELLER nya, kalo sama CS biasanya responnya lama :)|5
276|Belanja hemat ya di blanja.com|Semoga blanja.com ada promo free delivery|4
283|kalau aku mesen barang dengan mencicil|Nanti barangnya itu kapan nyampenya? Apa pas udh lunas apa pas pembayaran prrtama dikirimnya?|4
287|cancdl|Apakah bisa saya mencancel pemesanan saya?|5
288|Keren|sudah jadi langganan kalau nggak kepepet beli barang diblibli, sejauh ini aman-aman aja, semoga makin baik pelayanannya. dan saran saja buat employer nya dibagian Content dan Promotion, buat content yang menarik dan bisa menjangkau di semua kalangan. Semoga disampai ya ke pihak manajemen supaya di CONTENT DAN PROMOTIONNYA lebih menarik. Tengkyu|5
290|Kok saya tidak bisa memasukan|Kok saya tidak bisa memasukan kode verifikasi nomer handphonenya saya ya..saat kodenya diketok,ga mau muncul kode nya..sudah dicoba sampai 3x tetap tidak bisa..solusinya bagaimana ya?|4
294|Bikin mudah aja ,,like it|Blibli memang ok Terimakasih blibli|5
295|Great..!!!|Saya Transaksi Pembelian Smartphone Tgl 14 Februari Kemarin Dengan Sistem Pembayaran Cicilan 24 Bulan Via Kartu Kredit BRI. Baru Saja Masuk Di Email Saya Billing Tagihan Untuk Bulan Ini Dan Yang Tercantum Disana Adalah Tagihan Full Payment Sebesar Nilai Transaksi Pembelian Smartphone Yang Saya Beli Tanggal 14 Februari Kemarin. Artinya Sistem Pembayaran Dari Transaksi Saya Kemarin Bukan Secara Cicilan Dong.. Mohon Pencerahannya.. Thank's....|5
296|Pengiriman Paket|Permisi blibli, apakah pesanan saya dapat dipercepat, soalnya lagi butuh banget ini..ini nomernya[private info removed] thanks|5
297|Mau tanya|Kalo sudah dalam pengiriman,paket sampai rumah berapa hari ya? Dalam pengirimannya kemaren. Kira kira sampai rumah hari apa ya? Terimakasih|4
298|Test|Permisi, mau nanya untuk https://www.blibli.com/asus-transformer-flip-tp500lb-cj003h-black-notebo... ini dan penjualnya apakah sudah diverifikasi dari blibli.com sendiri ????|5
299|Nice|Thx Blibli. Barang cepat sampai. Packing juga sangat aman. Tidak ada kerusakan fisik sama sekali. Next saya mampir lagi ke BliBli.com ya.|5
300|terimakasih agen @Rio^RO Omar^Om Owen^Ow dan Odie^od.|terimakasih buat pelayanan terhadap kami.kalian sigap danselalu fast respon.komplain aapa aja selalu d bls dgn sbar.terimakasih bt cs rio.omar .owen dan odie.yg selalu stiap chat ketemu sm kalian.the best empat jempol bt klian|5
301|Very Excellent|Terima Kasih Agent Riki, beli gadget di BLIBLI gak Perlu Ragu lagi, Barang Sampai Tepat Waktu, Packing Rapih dan Gak cacat sama Sekali. Pokok nya Puas !!! Excellent !!|5
302|Sangat puas|Saya konsumen yang ingin membeli satu set ban kendaraan bermotor melalui blibli. Blibli sudah memberikan pelayanan yang menurut penilaian saya sangat cepat dan tepat. Saya berterima kasih sekali atas pelayanannya yang begitu istimewa. Terima kasih blibli.|5
304|i think great|aku mau order, tapi kenapa alamat yang saya masukan di nyatakan tidak dapat melakukan pengiriman ke alamat tujuan atau alamat tersebut masuk di luar wilayah pengirimana. alamatnya sekitar jakarta selatan. thanks|5
305|mau nanya|aku dah milih-milih smartphone dan kecantol sama oppo neo9a37 karena hpku barusan banget rusak. jadi gini. mau beli pake cicilan aja tapi masih bingung sama maksud dari Setiap transaksi Cicilan 0% yang dilakukan pada transaksi e-commerce yang dilakukan oleh Pemegang Kartu Kredit BRI akan dikenakan Biaya Administrasi Cicilan sebesar Rp. 50.000 per transaksi. Adapun Biaya Administrasi Cicilan tersebut menjadi beban Pemegang Kartu Kredit BRI. apa setiap kali aku transfer bakal dikenakan biaya 50rb?|5
306|jadwal kiriman..|Mohon bantuan, saya kemaren beli hp di blibli, dan d daftar telah tertera siap dikirim.. kira2 berapa lama lagi ya akan dikirim paket nya. Terimakasih|5
307|Best cuman System web masih sering error / ngebug|selama belanja di Blibli ndak ada masalah, cuman ya itu tadi system webnya masih banyak bug nya , contoh nih pesanan saya NO PESANAN: [private info removed], ss http://prnt.sc/ecf7ky barangnya sudah saya terima -+ 4 hari ya lalu, lah statusnya di web blibli masih siap dikirim, padahal dari barang nyampe saya mau konfirmasi , biar merchantnya bisa mencairkan uangnya, tapi mau gmn lagi system web blibli yg error.|4
308|Nike Free RN|Awalnya saya sempat terhenti di proses pembayaran, saya memilih transfer atm, namun selalu gagal karena kode bank yang diberikan tidak terdaftar, namun saya mengganti opsi pembayaran melalui kantor pos, dan alhamdulillah bisa. Yang mau saya tanyakan, barang yang saya pesan apakah akan diantar kurir blili atau pihak ekspedisi ya ? dan resi yang diberikan tidak dapat saya tracking ...|5
309|Saya membeli apple watch di|Saya membeli apple watch di blibli dab pengirimannya saya minta dipercepat, staff CS blibli sangat helpful dalam membantu saya, alhasil apple watch saya terima lbh cepat dari waktu estimasi. Blibli sangat direkomendasikan deh ;)|5
310|Saya sangat puas dgn|Saya sangat puas dgn pelayanan blibli. Saya baru semalam memesan alat kesehatan melalui blibli, dan sy btuh sgt urgent krn utk alasan kesehatan. Sesuai petunjuknya, pesanan akan dikirim paling cepat 4-7 hari kerja krn barang elektronik yg cukup besar. Tp saya menghubungi customer service blibli utk dpercepat pengirimannya krn urgent, cs blg akan dbantu utk ajukan surat permohonan dpercepat. Tdk disangka, sore esok harinya barang lgs sy terima. CS blibli jg sgt baik, care dan helpful. Saya puas sekali. Terima kasih blibli.|5
314|btuh penjelasan|Pertanyaanku tidak direspon..|5
315|Excellent Respond & action saat terjadi kesalahan pengiriman !!!|Disaat kejadian kesalahan pengiriman barang. ( Tempered glass samsung a7 2017 , tp yg dikiriman oleh merchant dr blibli asus zenfone 3 max ) team customer care blibli ( Bima & Riki ) sangat responsif..saya mendapatkan penggantian unit dalam 12 jam ( saya telpon malam , besok siangnya unit pengganti telah di antarkan lagi kerumah....|5
317|Tanya Dong?|Sore.. Saya Mau tanya Dong, Kalau saya ada KlikBCA tapi tidak punya kartu kredit apakah masih bisa transaksi di blibli.com dengan metode mencicil?|4
318|good|Hai Blibli.com saya siti maisaroh mau tanya,saya beli gadget di blibli hari ini.,yg sy mau tanya,brp hari ya paket nya sampai kerumah? transaksi saya tadi jam 09:23 .. Thanks Yaaa|4
320|Nice|Hai Blibli.com sy mau tanya,saya beli gadget di blibli hari ini.. dan kata nya di kirim oleh BES Reguler,yg sy mau tanya,brp hari ya paket nya sampai kerumah? transaksi saya tadi jam 14:30.. Thanks Yaaa|5
321|Overall bagus cuman serring error|selama ini saya belanja di Blibli.com jarang banget mengcecewakan cuamn systemnya sering error contohnya saya saya ingin order product ini https://www.blibli.com/sapphire-radeon-rx-460-2g-d5-oc-single-fan-graphi... anehnya ga bisa dikirim karena Pilihan pengiriman tidak berlaku untuk produk BOPIS atau Big Product , lah kan cuman VGA Computer, saya sih udah nanya in ke merchant dan cs Blibli udah dibikin ticket CASEMGMT-16837864 , cuman belum ada update|4
322|Pelanggan|Saya signature, gmna cara dapet bonus 25% blnja per unit nya ?|4
323|tanya tanya dulu|saya mau tanya kalau belanja di blibli apakah pembeli transfer uang ke pihak blibli kemudian blibli yang mencarikan produk yang di pesan. ATAU pembeli transfer ke pihak penyedia barang langsung. dan say mau tanya kalau beli PS3 super slim apakh sudah di isi game. & berapa lama pengiriman ke pekanbaru??|4
324|Mau beli Ban michelin pilot road|saya mau beli ban michelin,di sini tertulis pengiriman gratis ke alamat [private info removed] jl slamet no 25 malang, RT 02, RW 01 Bululawang - Sempalwadak Kab. Malang, Jawa Timur barang nanti sampai di alamat saya,apa harus saya ambil di ekspedisi tertentu|5
326|Suka banget belanja di blibli.com|Saya belanja tidak pernah kecewa, malah puas banget saya sama pelayanan blibli.com|5
327|Perbaiki sistem|Dear Tim Blibli Sebelumnya Saya ucapkan banyak terima kasih atas pelayanannya yang cukup kooperatif, meskipun dalam proses penyediaan barang masih kurang memuaskan (penerimaan barang melebihi waktu estimasi dan customer harus ber-effort lebih untuk menanyakan kepastian penerimaan barang agar tepat waktu), Saya berharap kedepan tim Blibi lebih menguatkan komunikasi antar pihak, baik ke customer, bagian inventori, penyedia stok, dan customer service. Selain itu, updating sistem (real time) sangat perlu diperbaiki terutama ketersediaan stok di gudang dengan stok yang ditampilkan di website. Harapannya, semoga Blibli menjadi salah satu perusahaan yang semakin berkualitas dan mengutamakan pelayanan prima ke customernya. Saya juga mengucapkan terima kasih banyak kepada Mas Riki yang telah membantu (do action, bukan hanya sebatas konfirmasi) sehingga bisa mempercepat penerimaan barang dan menjelaskan kendala yang sesungguhnya dihadapi tim. Terima kasih Salam|5
328|butuh jawaban terbaik blibli.com :-)|Dear yth admin blibli.com :-) , rencananya saya mau beli motor di olshop, setelah sekian lama saya cari di olshop2 lain, kebetulan saya search di blibli.com ternyata muncul motor seperti apa yg saya inginkan yakni kawasaki ninja 250 fi - Red yg terbilang Rp. 59.400.000. Disitu keterangannya tersedia di wilayah jabodetabek , Yg mau saya tanyakan , apakah barang tersebut benar2 ada stok.nya atau tidak, silahkan ditanggapi agar saya benar2 yakin dan tidak timbul keraguan dan harapan saya barang tersebut terjamin, soalnya apa yang mau saya order ini termasuk nominal yang banyak, mengingat maraknya penipuan-penipuan , masalah2 kualitas barang yg diterima/tdk sesuai pesanan dan lain sebagainya. jika ada dan cocok bisa saja saya ambil regional jakarta, tetapi posisi saya ada di jawa timur, yg saya tanyakan keduakalinya, apakah bisa kirim langsung sampai rumah pelanggan atau lewat 7Eleven / yg lain? . Dengan senang hati saya mengharapkan jawaban terbaik pihak blibli.com , #Terimakasih :-)|5
330|bingung|rencana saya akan membeli komponen alat komputer, seperti proccesor,graphicard,psu,dll, banyak orang kecewa karena pelayanan blibli tidak rapi, ada yg bilang rusak lah ketika barang udah sampe, dan saya meragukan ketika saya ingin belanja di sini... dan apalagi belanja alat komputer yg bener sensitive rusak sepeti proccesor,vga...|4
332|Puas|Ovamaltinenya sudah sampai dgn baik. Expired nya lama Desember 2016. Rasanya jg enak. Sekeluarga pada suka. Untuk sarapan dan ngemil recomended banget. Coklatnya itu loh.. Cruncy.. Enak dan puas dech pokoknya.|5
333|The Best Online Shop in Indonesia|Blibli adalah toko online terbaik di Indonesia. Dari mulai design layout, pemilihan diksi / gaya bahasa, penggratisan ongkos kirim, layanan CS yang selalu impresif, promo diskon yang melimpah dan memberikan potongan signifikan, hingga kecepatan akses membuka URLnya, membuat Blibli hingga saat ini tidak bisa ditandingi oleh toko online lokal manapun. Memang ada beberapa items yang menurut saya seharusnya tersedia di Blibli tetapi ternyata tidak ada dan malah tersedia di toko online sebelah. Ini mesti menjadi perhatian Blibli, sehingga keragaman barang yang ditawarkan dapat lebih baik lagi.|5
334|MANTAP|Mengapa saya katakan MANTAP.... M = manjakan customer dgn best price list & ekstra diskon A = aman packing trhdp produk N = nama produk jelas scr detail T = terjamin kerahasiaan pembayaran online A = alat pembayaran komplit (kartu kredit, i-banking dll) P = poin reward nyata diterima customer|5
335|sangat recomended|Senang belanja di blibli. Hrga trjangkau.proses packing & pengiriman jg cepat. Dan untuk packing nya sendiri. Blibli the best lah...amaann bgt|5
336|be!anja di blibli.com puas,cepat sekali prosesnya.|Belanja diblibli prosesnya sangat cepat hanya hitungan jam sudah dapat email barang dalam pengiriman. Pembayarannya lengkap. Mudah dan praktis.|5
337|Belanja minuman kemasan di Blibli.com aman tak takut bocor|Belanja minuman botol di Blibli.com tak perlu takut. Karena packingnya sangat aman.|5
338|superb|blibli.com selalu nomor satu untuk kualitas customer service dan packing.. Sukses terus blibli.con|5
339|Pelayanan Paling Top selama Berbelanja Online|Saya suka berbelanja di Blibli ini karena pelayanan & service yang paling top khusus untuk berbelanja online.|5
342|mantap promonya|harga murah tapi tidak murahan, mantap dah...........................................................|5
343|Mudah dan Praktis|Saya masih awan dengan belanja secara online, di kantor banyak teman saya yang berbelanja online. saya lihat cukup mudah dan banyak promo yang ditawakan oleh website-website online. akhirnya saya memberanikan diri untuk berbelanja online, dan yang saya pilih adalah blibli.com karena berdasarkan referensi dari teman saya blibli.com salah satu yang paling mudah, aman dan terpercaya. dan benar setelah saya coba berbelanja di blibli.com memang mudah cara pemesanannya, pembayarannya pun banyak pilihan. barang saya sampai sesuai dengan estimasi yang diberikan. awalanya saya was-was barang tidak akan sampai tapi sekarang saya percaya dengan blibli,com.|5
344|e-commerce dengan customer service yang reliable|Saya sudah sering sekali berbelanja di berbagai e-commerce, namun sampai saat ini blibli.com yang paling reliable customer service-nya.|5
345|menyenangkan|barang yg dijual cukup banyak dan fast respon|5
