Sentence,Label
laku transaksi tokopedia pda tgl trnsfer tgl lupa konfirmasi tgl n trnsaksi batal pdahal tokopedia checking otomatis nyata komplain kmna uang pergi knpa gk masuk k saldo komplai k custmservis tgl dberikan baku cek tanggal tokopedia gitu hallo tokopedia selesai dichek kirim bukti trnsfer x pasu no rek n nama nya yg trnsaksi sumpah bikin males belanja pakai tokopedia layan buruk,negative
langgan setia travelok jujur kecewa berat traveloka bertahun traveloka kecewa traveloka singkat cerita tgl feb sy mes tiket ckgmrq orang dg sriwijaya total harga kurleb rp jt iseng cek ckgupg rp upgmrq rp otomatis langsung membooking tiket putus transit makassar makan jam sy pikir sy check in ulang sy metode bayar traveloka quick bayar ckgupg masuk password verifikasi cc yg kaget pesan langsung otomatis bayar tiket yg pesan double sy complain traveloka refund sy lega sy terima email refund terima potong kurleb rban traveloka komplain perihal yg gak habis pikir tanggung traveloka yg sy komplain krn mesan sy beda tiket putus nama yg alas maskapai yg yg kecewa salah maskapai aplikasi quick gak otp jenis verifikasi krn aman aman otomatis sy rugi aplikasi yg otomatis bayar konfirmasi dr sy sy butuh tanggung krn uang sy rugi jt rugi uang segitu tolony bgt traveloka agen rugi konsumen salah perihal aplikasi yg sempurna,negative
cs susah hubung akun blok kirim kode otp eh tunggu ga kirim uang tahan tokopedia pedangang manfaat lemah tolong tanggung mu tokopedia,negative
mudah tahap lihat brg pilih bayar kirim yg cepat,positive
tfer uang beli barang toped berita konfirmasi tele tele tungu tungu barang nya eh konfirmasi email barang nya ga dikirimin jual alas kalo butuh barang puas belanja dikaskus not recomended ni toped,negative
keluarga senang belanja blibli com promonya tarik produk produk paket produsen kirim super cepat paking super rapi,positive
halo gan ga bayar pakai bri sms banking trus kalo kirim via transfer nama milik rekening ya kemarin sya coba bayar rek mandiri tera contoh bayar blibli com ga muncul nama milik rekening,positive
kali laju belanja online bukalapak com setrlah lihat review positif pilih barang mudah bayar coba bek salah barang mudah barang jamin aman call center nya muas klaim barang layan,positive
belanja on line blanja com mama toko digital nmr telpon yg hubung barang tuju,negative
mohon programmer aplikasi revisi fitur olx karen fitur skrang bingung jual beli,negative
laku beli blibli tanggal maret barang terima tanggal april status pesan web tunggu ambil kurir terima barang hubung blibli jum at april kali customer service bantu periksa tim logistik id lapor casemgmt erti tugas customer service lapor customer tugas memfollowup lapor tugas bingung butuh kurir laku ambil barang merchant tanggal maret ambil kurir posisi kurir merchant proses ambil barang salah teknis merchant kurir blibli nya akibat lambat sistem internal blibli lihat pesan status lazim tunggu ambil kurir langsung followup tunggu komplain customer barang terima estimasi mudah review baca management blibli followup updated tulis review management blibli langsung memfollowup solusi apresiasi terima kasih followup laku management blibli,positive
respon lambat kesan nya tanggung barang rusak sulit mereturn nya merefundnya alam buruk belanja online bhinneka,negative
yg nama e commerce nurut selera langgan olx yg hilang dunia e commerce indonesia yg potensial saing bunk yg care peduli yg sombong sok tau,negative
bebas ongkir pricing nya kompetitif banding online shopping,positive
tama neng banget belanja blibli com utama harbolnas desember cashback beli tanggal tsb gembira cashback laku maret manfaat cashback nyata cashback sembunyi proses bayar pilih centang hilang pilih mohon cerah admin blibli com tks,negative
bukalapak belanja online mudah murah nyaman aman cs bukalapak responsif nilai plus belanja lupa pindah belanja arti hidup ribu lapak mayoritas ukmk,positive
kali belanja vip muas csnya ramah barang cepat keep up the good work,positive
great,positive
alam beli blibli com kecewa no order private info removed belanja online coba beli blibli com smartphone lenovo zuk z eksklusif blibli com order tgl maret barang terima besok tgl maret estimasi barang terima website blibli com aju kali komplain fasilitas live chat sedia tanggap suruh sabar tgl estimasi barang butuh barang minimal informasi by phone email ttg order biar tenang tipu blibli com tdk beli barang blibli aja butuh alam,negative
good respect,positive
kirim cepat pas banget lg dibutuhin dapet yg murmer,positive
mohon limit bayar jam jam menit bayar atm kadang kadang aja internet nya lot antri atm nya atm kadang musti cari atm bayar menit musti kejar kejar mohon timbang best regards denny rasyid pt big daddy production komplek ruko ubud village kuta blok a jl hos cokroaminoto jalan raya ciledug tangerang phone private info removed private info removed,negative
laku booking bayar laku mudah cepat website tiket com user friendly sedia metode bayar harga kompetitif program promosi harga tiket murah banding beli langsung usaha terbang website tiket online,positive
beli powerbank xiaomi mah tgl jun bayar tunggu minggu barang kunjung kirim complain kirim dr negeri makan what the barang barang kw dewa neptunus sebal cek nyata fix barang palsu alias kw tdk nomor seri tanda barang palsu muncul kerang ajaib sungguh faak,negative
tolong olx yg jngn yg the all new olx krena yg versi ribet pake gps lebay banget pake gps,negative
sy reservasi website garuda de gan tiket com,positive
very excellent product and low price responsive and always have discount for any product,positive
easy order and fast delivery,positive
harga kalah saing,negative
beli barang x kualitas sesuai deskripsi profile tulis review comment jual approve hapus kena kirim barang masuk ok,negative
ease of shopping just in one hand complete and trustworthy,positive
puas layan bayar lunas langsung konfirmasi email kode booking hitung menit tele tele cepat,positive
mudah akses aman fast respons barang mohon lapak hapus iklan lapak yg sedia,positive
beli barang tanggal november tolak jual stok habis dana bayar sy kunjung toped sy komplain limit kartu kredit maksimal kerja sy pakai kartu debit mulaijengkel tanggal desember sy email dana cek rekening zonk komplain maksimal kerja detik januari ganti dana realisasi kapok hati transaksi toped lapak yg nyaman,negative
nice,positive
positif gratis ongkos kirim jam online support cicil negatif terang produk tampil lengkap akses situs mobile lambat kirim merchant proses refund banget refund sampe proses huh udah produk lengkap segi variasi ukur,positive
blibli maret error live chat optimalisasi banget nya optimalisasi lihat malam jam pagi gitu ga ganggu banget,negative
kali belanja blanja com totally slow response customer service seller are cucok sms telpon ganggu barang beli harap hati senang terima kirim tunggu kartu halo tukar poin belanja poin hangus refund hubung telkomsel cucok tunggu tunggu proses poin useless online shopping main customer service nomor pakai branded muka ebay telkomsel,negative
pesan no private info removed transfer feb pesan status ambil kurir nasih tunggu status pesan mohon blibli serius awas pesan langgan kecewa tunggu balas blibli cepat kirim pesan,negative
mes gagal kali masuk tiket terissue gagal sukses input nama terissue complain kecewa customer service tiket com gimana,negative
proses order cepat batas max jual sigap laku handling order customer,positive
pilih bayar lengkap,positive
tulis puas beli blibli com kali kronologi sbb beli hape samsung tanggal dec hadiah ultah tgl desember no resi jne tgl dec cek alamat keliru kota suruh trenggalek alamat kota surabaya telpon blibli com bilang aman sistem cetak kota surabaya bilang salah sistem jne kawatir tenang kekawatiran bukti tanggal dec telpon jne trenggalek alamat tera paket kota suruh trenggalek kirim surabaya surprise haidah rencak gagal total telpon blibli com urus jne nya sampe tulis terima email telepon blibli com tulis barang terima kecewa alam beli blibli com ulas alam beli blibli com kelam saran cari toko,negative
transparan hadap terang stok barang sedia mudah akses lengkap jenis barang yg jual blm ketat dlm pilih jual yg lapak temu lapak nakal curang harap bsa lbh ketat dlm terima lapak,positive
beli barang zalora kecewa suka banget zalora,positive
syarat buka toko online seller rumit syarat penuh seller utama stok barang,negative
alam beli aja udah kecewa kapok belanja lazada barang terima ga barang tolong catat belanja lazada online shop,negative
kali laku mesan vipplaza hasil nya muas mes kirim email cs langsung respon selesai,positive
beli vacum flask kantor yg dingin ac kantor ku area toko ga kantor ken beli toko jalan pulang coba cari online salah pilih blibli nyata ni barang mudah banget proses informasi detil estimasi kirim barang kemas barang rapi aman konfirm terima barang tagih belanja blibli teman sodarasodara keren deh blibli,positive
beli token pln no transaksi private info removed cuman stelah bayar hasil token kunjung fi terima menit coba chat cs eh bilang stock cepat habis trus coba order tokopedia karna token tinggal kode token langsung masuk ga sampe menit klo ga system jam nya ga jual token pln buang karna nunggu refund,negative
pesan hotel bandung minggu nov cek online travel agent yg rupa harga murah tiket com,positive
barang yg jual layan sdh ok tp kirim cepat lg,positive
galau pilih blibli com toped baca review wow ga download toped terima kasih yaa moga cepet selesai mending log out move belanja belah aja bukalapak blibli com bukalapak cs nya cepat tanggap loh,negative
aman beli bagus,positive
puas belanja mataharimall diskon kualitas barang ok,positive
service is above average when i compare it with my previous experiences in another ecommerce,positive
selang menit konfirmasi mesan transfer uang kabar konfirmasi komplain stok barang refund uang janji kerja minggu kunjung terima jengkel komplain proses refund mohon tingkat cepat jual online,negative
order xiaomi redmi note gb bayar kartu kredit tgl feb estimasi kirim feb jasa rpx priority package biaya csnya yg maksud rpx priority pacakage barang cepat nyata beli modem jne dtang sesuai estimasi bayar gak estimasi kirim dri blibli putus refund mudah mudah proses refundnya gak layan parah blibli coba i cekdi merchant push logistik kapok belanja blibli,negative
thx blibli barang cepat packing aman rusa fisik next mampir blibli com ya,positive
michael santoso,positive
q,negative
layan,positive
rugi jual ditoped dana yg tahan toped toped milik data customer jual seller gantung dgn toped website toped error seller gigit jari seller pintar simpan backup data customer gantung marketplace sperti tokopedia kadang cs toped payah abg labil toped bantu ukm koq sisi rugi ukm dngn hambat dana seller moga toped niat jalan mudah,negative
aju barang tanggal agustus komponen produk headset lepas gerak dengar bunyi goncangan komponen yg lepas earpadnya emas pikir produk tsb gudang supplier paksa kirim produk cacat mesan produk lambat proses posisi tangerang selatan supplier aju barang konfirmasi blibli com kirim produk tanggal agustus layan esok ditracking barang alamat tuju kunjung kabar kena proses barang aju cek stok produk stok produk tsb habis warna harap laku proses refund sayang proses blibli com asa belit utama live chat kpd customer service krn konfirmasi data ulang kali hubung aju hubung proses tulis review moga blibli com respon terima kasih,negative
belanja barang ditokopedia transfer rekening nyata rupiah tolong adik transfer rp bukti transfer uang cash adik upload ketokopedia order barang bayar rp atm saudara beda transfer ebanking bca mengupload bukti transfer tokopedia nyata masuk account tokopedia rek pakai belanja bukti transfer cs bukti transfer rekening adik saudara proses bukti transfer uang kecewa customer service tokopedia keluh minggu maaf ya belanja online internet akses tokopedia keluh langgan nya buang mungin memamg sengaja tanggal juli layan nonaktif uang,negative
tips sayangna fitur mesan kadang bnyak buyer nakal order barang beneran sold haha rupana cuman php harusna negatif,positive
beli baju vip plaza merknya familiar milik gerai mall kualitas produk beli online cacat produksi jujur aja beli vip plaza klo zalora barang bagus berrybenka servicenya oke banget lazada lengkap free ongkir percaya tokopedia murahhh tau nih vip plaza ga beli moga cman yg alami pikir konsep selected high quality product at discounted price nyata gak,negative
langgan lazada kesan uda buruk tunggu barang ga sampe nyata reject krna ga stok ga update biar orang ga mesen aja mancing orang kirim duid ujung nya refund tlp ngmong uda ga refund gw tlp disuru tunggu ga masuk refundnya makan duid orang ga gitu tutup aja lazada biar ga orang kena tipu,negative
aman mudah belanja bukalapak,positive
berita politik,negative
online shop harga tawar saing pilih produk free ongkos kirim promopromonya,positive
great n trustworthy store,positive
belanja zalora mudah cepat barang tampil beda dgn asli kadang bbrp warna beda tp so far so good proses mesan barang butuh pretty fast layan muas zalora is gonna be the best online shop in the worlddd,positive
tiket com gak kayak nunggu bas menit kode booking email langgan cuman butuh menit,positive
belanja murah nyaman senang,positive
kirim kecewa barang terima minggu pakai kurir beli sepatu eagle metode bayar bayar uang pikir estimasi deal payment coba klo uang pakai dg butuh jual via online percaya hadap term dar jual produk barang kirim kualitas alias kotor bersih pikir positif barang stok periksa kirim ilah kesan customer langgan pikir beli produk tawar kritik saran terima kasih,negative
aman transaksi sayang suka disalahgunakan seller nakal bukalapak selektif seller nakal,positive
barang bagus cepet sampenya diskonin barang aja hehehhe,positive
tipu lazada pesan kirim jne no resi mycgk private info removed input nomor tracking jne makan s d kerja lihat status kirim www jne co id or hubung private info removed pesan proses kirim langsung jual jual milik maksimal kerja kirim barang tampil nomor resi kirim bayar terima pesan proses kirim pesan terima proses verifikasi pesan terima tunggu konfirmasi bayar data hasil copy paste status order barang terima status delivery kabar delivery lazada langsung komplain barang terima janji investigasi minggu kabar komplain lazada ecek jne lazada janji investigasi xjam jne kabar barang kirim alamat beda alamat delivery arti salah lazada salah alamat lazada tanggap komplain x hati lazada tipu,negative
berani belanja blibli pesan lg g pro black no pesan private info removed senin des jam malam jam wib status proses nyata ayo gerak blibli saing bisnis online tetangga belanja cepat layan respon moga pesan lg g pro black no pesan private info removed cepat mari gerak cepat,negative
gagal tiket bayar via bcaklikpay aneh complain cs bayar paksa beli tiket traveloka uang tiket com mohon cantum etiket berangkat soekarno hatta terminal,positive
aya oernah order bukalapak barang terima uang transfer kapok belanja bukalapak,negative
jam lazada rusak pas terima harga diskon langit nyata barang palsu hati,negative
laku bayar via cicil kartu kredit website error telp cs nyata website maintenance konfirmasi bca transaksi hasil tunggu tagih merchant blibli pagi kaget status pesan blibli batal payment expired hubung cs via telp konfirmasi finance siang tunggu klarifikasi blibli salah blibli website error laku bayar,negative
kecewa segi kirim nya area cod banding ecommerce saudara zalora,negative
kecewa batal pemberitahuan konsumen voucher yg beli harbolnas harap yg dg sikap profesional kpd konsumen yg manjadi hak konsumen yg bayar sesuai akad transaksi,negative
traveloka rupa sedia jasa andal,positive
kena email isi e tiket langsung kirim kasih informasi tiket com kalo bayar laku tungu,negative
my first time with blibli com proses konfirmasi kirim opsi kirim paksa gratis tunggu terima barang beli my experience with other online shop gratis ongkir proses konfirmasi makan laku weekend sabtu minggu tunggu kerja tunggu proses kirim total butuh tunggu kerja konfirmasi makan masingmasing customer milik sifat urgensi beda gratis ongkir bagus bagus customer opsi kirim bayar cepat terima proses konfirmasi x jam support konfirmasi bayar x jam bikin customer tunggu kali laku transaksi blibli com kerja transaksi jumat jam butuh konfirmasi kecuali klikbca libur weekend kerja wow proses perhati khusus blibli com ikan opsi kirim pilih customer paksa gratis paksa tunggu proses birokrasi internal butuh kerja week day,negative
bukalapak harga saing barang murah bukalapak admin very helpfull keep it up,positive
barang pesan kali nyata ganti barang cs good helpfull but still you selling something not selling lipservice quality of your goods x so bad one time i have to returned it the other time forget it,negative
aplikasi bikin tenang belanja uang aman brg sesuai dgn deskripsi maju bukalapak,positive
olx rubah tampil user friendly mudah erti rubah the all new olx jauuuh beda buruk ganggu hilang contact jual wa bbm line ganggu sulit akses situs olx co id muncul halaman olx co id mengrefresh scroll olx fitur sampah fitur mapping cari iklan batas km harap olx rubah tampil sampah tampil the all new olx fail,negative
a great company fastest response alive,positive
barang barang tata rapi harap tingkat manajemen kirim,positive
mudah aman transaksi,positive
buset edian bener byk yg kecewa ama lazada masuk zaya yg seller bbrp bln jual tambahin produk aja susah banget utk tembus quality control nya cs slow rezpon hadeh parah tenan beda banget ama bukalapak pribadi lapak bukalapak dgn nama toko clash with proklamasi produk utk jual gak ribet lazada buyer aaya sgt puas dgn layan cs bukalapak sgt fast respon dgn tanggap mgkn krn feedback yg positif fast respon pribadi packing barang sesuai dgn yg jual sbenarnya ken banget jual lazada karna harga nya gak bantingan kayak tokopedia bukalapak kecewa bgt dgn sistem jual sbagai seller lazada lihat kecewa seller buyer ug review kayak nya mundur ae wes babahno duit ku ilang gak byk lazada mgkn alih elevenia utk coba smoga elevenia gak ribet kayak lazada nama toko lazada clash with proklamasi biar aja liat situasi lazada uda blm,negative
order blibli lumayan muas barang bungkus rapi aman estimasi konsisten karna estimasi saran layan kirim update status kirim websitenya,positive
jual beli,positive
refund tumpang pp serba online komputer ya kasihan konsumen yg mengiklaskan duit utk direfund,negative
kali nya belanja lazada kali nya uang telan idr beli makeup brushes idr biaya kirim return barang gudang lazada tik janji beli makeup brushes online lazada indonesia barang pilih makeup brushes nya pcs nyata barang nya pcs langsung complain usaha nya coba telpon usaha puluh puluh kali telpon angkat website tera jam operasional jam malam telpon jam orang angkat telpon coba komplain email lazada balas salah karyawan nya yg nama sony indrawan telpon bantu suruh barang salah gudang cek laku uang rekening bank proses kece senang nyata tipu hitung tanggal paket gudang lazada agustus agustus kabar berita email halus sdengan kasar suruh tunggu kerja ikan nya sungguh kecewa usaha umur hidup belanja lazada silah usaha karyawan lazada tel uang moga tuhan balas lipat ganda telan,negative
takut belanja online tagih hemat gak capek bawa barang tinggal klik klik aza simple bgt pokok,positive
permisi beli smartphone d ragu barang kirim barang asli replika jenis sen iphone barang sen asli replika kirim mohon d balas admin,negative
beli produk dgn invoice inv xv viii tanggal agustus tokopedia janji barang proses jual tgl stok lunas verifikasi tp tokopedia atur batas yg sesuai kpd beli tp sisi jual max blm proses transaksi gagal max x jam,negative
beli baju tshirt vipplaza merk kim langsung diskon langsung beli tpi brg blm coba cek no resi jne blg data panik tunggu brg lihat nyata no resi yg vipplaza salah ketik huruf kecewa kemudia buka paket temu warna tshirt sesuai warna mes warna kuning tpi yg mlah wrna hijau sesuai yg diekspektasikan mohon perhati terima kasih perhati,negative
mesan tiket mudah cepat murah percaya,positive
giur diskon order jam tangan merk sa april order april packing rapi buka barang cacat jam atur mesin jam tangan kerja jam tangan normal lazada laku beli barang cacat,negative
langgan deh belanja bukalapak harga yg lbih miring toko belah yg qt butuh jg ga repot capek belanja tx bukalapak,positive
udah bayar udah verifikasi otomatis ubah blm bayar customer service respon,negative
belanja,negative
ragam pilih belanja harga kompetitif saing masuk aja bl tolong dunk gratis ongkirnya full produk minimal belanja lumayan beli produk duit best of the best dah saluuut,positive
blanja com e commerce buruk dunia order batal parah potong ribu batal blanja masak biaya beban buyer budaya korupsi nih,negative
kali beli handphone lazada teman counter hp lengkap puas lazada barang nyampe kal sel so laku transaksi yg laku baca review seller yg sangkut google umpama review negative coret thu nama seller mata baca deskripsi nthu produk sedetailnya khawatir kalo yg ganjil deskripsi umpama iphone os android wkwkwk so salah lazada jeli konsumen butuh sungkan buka google cari cerah,positive
order dr tgl no pesan private info removed estimasi barang diterma jul to jul status ambil kurir ubah tgl jul barang kirim plus no resi private info removed yg sayang detik barang order kunjung hasil cek resi status barang pindah kurir kurir yg soo tunggu,negative
pesan baju zalora skrg lacak pesan emas barang kali mes baju zalora layan kirim nya moga makan minggu,negative
hati hati belanja barang ngak asli complain putar putar alibi ngak bertangung kirim jual kirim bukti bukti kalo barang terima barang nya tukar bilang barang cuman ngak hati hati belanja,negative
ragu tp pas jamin uang mudah cair belanja trs maju trs bukalapak,positive
sen product tgl agustus kirim alas kendala no pesan private info removed tungu,negative
variasi barang yg harga variasi,positive
bagus search tiket bantu,positive
jual pulsa indosat yg nominal sedia bos transaksi pln bpjs sehat lapak puas layan customet bl responsif,positive
diskon syarat,negative
pelayananya muas packing rapih pake bublewrap puas puas banget,positive
puasbelanja matahari mall diskon ok kualitas,positive
kirim order tgl skrg blm jengkel nunggu,negative
bolt fast fun,positive
traveloka flexibel ubah tgl inap hotel yg booking padhl sy oke klo umpama tdk bs refund lempar tanggung dng hotel utk ubah tgl sedia utk menyesuaikam harga tgl yg maksud transaksi trimakasih traveloka,negative
pesan bibli tgl agustus tgl agustus status tunggu ambil kurir no resi kirim sedia kirim gratis cicil nol promosi kirim sulit konsumen percaya bibli tks,negative
good services i m so happy,positive
min yg komplain balas ragu beli vipplaza bayar beli nike bayar,negative
beli hp xiaomi redmi note tanggal proses kirim nya kirim imail gak balaes bales kecewa mohon pecerahan nya,negative
tokopedia ganggu lelet banget trus duid ane sbagai jual main balikin gtu aja buyer karna salah transaksi cc rugi tokopedia hubung by tlp gabisa web hubung email jawabanya kek anak ngomong aja gdda beda konyol solusi galagi ladenin buyer yg byar cc deh,negative
barang terima kondisi bagus,positive
booking tiket com laku booking hotel pesawat kereta api laku aman mudah cepat jenis bayar masuk cicil,positive
ragu takut confirmasi nyata mantap,positive
konsep belanja online mudah sulit dilazada beli laku wajib pesan transfer dana pesan cancel uang transfer rekening refund isi form refund sesuai kasih lazada kredit belanja lazada alas data refund masuk isi data refund alas ubah nama akun pakai rekening refund transfer rekening simpul belanja lazada beli rekening transfer rekening sesuai nama akun ribet sesuai suruh surat kuasa lazada wkwkwk sistem ga dipake sih liat transfer nomor rekening bilang aja suapaya untung kasih lazada kredit mari pindah ecommerce profesional,negative
barang pilih harga jangkau diskon,positive
bukalapak fast respon trusted okey poll tinggal nambah kota lapak tampil,positive
my favorite online stores good service good quality customer service friendly very satisfying shops online stores look very attractive overall tokopedia it s so good,positive
the website is excellent and user friendly you can buy the products without going anywhere there are many options for products that we want to buy over all the service is great and it make me shop frequently in mataharimall com,positive
good service good price all is good good luck mataharimall,positive
nanya nih pesan ransel amooba backpack blaster via bayar debit btn online bayar tuh menit wkatu bayar habis jdi gimana tuhh pesan kirim via penbayarannya ubah cod pesan batal,negative
bagus tp alangkah mes duduk rek bank kena biaya tmbhn u transfer beda bank,positive
tulis muat laku beli hp blibli com tgl juli no pesan minggu no resi sedia tunggu ambil kurir live chat x tp formalitas mending live chat sdm kurir blibli yg mohon aktif,negative
jual nipu barang kw ori gak ori contoh baby liss baby liss asli harga tokopedia dapet harga bilang produk ori facebook resmi baby liss indonesia barang tokopedia ori tolong tindak jual jujur bikin rusak nama tokopedia,negative
belanja online mudah modal konektifitas internet jari produk langsung alamat tuju blibli com rekomendasi untung member dapet voucer rb member dapet voucer exclusif beli produk promo dapet bonus voucer bonus produk gratis pokok kalo mao belanja online aman nyaman percaya klik blibli com jamin bikin efek candu belanja online thanks blibli com,positive
customer servicenya bantu respon jam siang malam balas recomended belanja tokopedia,negative
moga cepet bangkrut,negative
manajemen sayang harga barang mahal singkron barang jual aplikasi toko online,positive
belanja online bibli com kecewa kecewa ragu transaksi online isu tipu coba blibli hasil muas putus belanja terima kasih blibli bantu sedia barang kecewa kecewa pilih blibli partner belanja online terimakasih blibli,positive
order confirmation cepat kirim cepat proses return cepat,positive
great job and successfull for mataharimall com,positive
pilih metode bayar mudah mesan tiket kai h berangkat bagus y,positive
mataharimall com layan pelangganya kaya terima kritik protes beli,positive
blibli com,negative
belanja mudah aman jamin,positive
tampil menu bingung,negative
senang bisnis,positive
trust ecommerce modis plus syar i recommend,positive
pesan denga no pesan private info removed kemarin tanggal januari udah hubung cs via live chat nya barang kerja barang mesti kerja nya butuh banget barang terima kasih update januari kirim nomer resi tetep status menuggu ambil kurir kirim nomer resi nya terima kasih,negative
semangat adminya jaga mitra b kembang maju,positive
sistem uang barang unik cons none,positive
milik fasilitas bayar agam,positive
kali belanja buka lapak kecewa customer service responsif bayar barang cepat,positive
fast process fast delivery nice price,positive
tanggal mei beli tiket terbang citilink tgl juli tuju jakarta hpk semarang anggota keluarga tiket com tugas kantor diklat tiket terbang batal sesuai prosedur batal laku agen beli tiket com tanggal juni batal tiket terbang telpon customer service tiket com nomor private info removed dasar informasi tugas customer service janji dana lambat kerja mengkroscek telpon customer service citilink juli tanggal lupa kait proses batal tiket terbang informasi cengang customer service citilink tiket com aju batal tiket nama aplikasi batal sedia pegang percaya tiket com mohon batal tiket terbang citilink tanggal september realisasi telpon customer service tiket com dana tiket com kecewa konfirmasi nyata dana citilink lihat biar tiket com tiket com milik awas proses dana customer service tiket com kait proses aju batal tiket terbang duga nyata tugas customer service ulang informasi proses maksimal kerja awas selesai mohon batal tiket tiket com milik kartu awas proses selesai batal tiket informasi hasil crosscek customer service citilink tiket com proses mohon moga tiket com tingkat profesionalitas mata sulit taruh percaya tiket com,negative
order barang gasampe sampe order dr tgl telpon udah kali kali oper sih jumat kirim tp gasampe sampe gatau sistem gimana ah,negative
olx go to inappropriate content removed w kecewa berat ama olx yg mending toko bagus ngacau tampilanya klo g aja dah keolx yg simple n g ribet,negative
ngorder barang utk kirim bal udah nunggu minggu batal lazada seller stock habis tdk pemberitahuan stock barang,negative
online shop rekomendasi belanja pesan smartphone xiaomi email notifikasi blanja com pesan batal indikasi trader proses refund transaksi tanggal juli masuk virtual account teman teman coba belanja horror ala preman silah coba blanja com proses lamban tele kalo refund dana sunat batalin pesan blanja com blanja com cancel shop nyata ga alam pahit teman kantor tetangga aja nasib,negative
kali beli produk blibli com nyata layan kecewa kirim nomor matrix ga aktif tgl maret laku beli produk msp matrix super plan bln sony xperia m aqua produk tanggal april free ongkir laku beli produk online shop produk tanggal april terima produk kurir menandatangani form langgan nomor matrix fotocopy ktp nyata catat form aplikasi nomor fotocopy ktp hubung customer care blibli kena informasi customer care kirim fotocopy ktp estimasi aktifasi nomor kerja tunggu aktifasinya tgl april kerja tanggal april nyata aktif tunggu tgl april tgl april hubung customer care informasi kendala aktifasi kirim fotocopy ktp informasi ga copy ktp informasi beda ok kirim copy ktp nya tanggal april harap lambat senin april aktif nyata janji april aktif nyata ga aktif janji tanggal april lambat jam nyata aktif sayang inisiatif blibli informasi status aktifasinya hubung,negative
very easy,positive
tampil web ubah ribet bgt,negative
barang muas,positive
