Sentence,Label
pertama kali belanja blibli com langsung kecewa saya pesan tgl  november  estimasi tgl  november  pesan sampai lebih estimasi lalu refund cs blibli tanggal  november  info proses  hari namun terima refundnya follow up csnya pasti refundnya tolong blibli com sistem tolong benah perhati nyaman konsumen kalo tidak mending bisnis online ini utk sangat tidak saran utk belanja blibli lebih belanja saja belanja bikin waswas saja,negative
kmaren beli barang blibli udah beli  barang sepatu futsal dgn koper masing barang tulis gratis kirim tp bingung knp transfer uang bayar ko d dgn ongkir pd masing barang yg beli jd batal beli pdhal lokasi d banjarmasin g d pelosok yg tdk jangkau,negative
layan buka lapak aman barang butuh sedia harga variasi jangkau moga tingkat tata kirim barang yg beli,positive
very recommended site trusted tahan harga kompetitif tiap terbang pakai tiket com reservasi tiket harga murah,positive
alam belanja mmal saja palagi promo n free ongkir asa kecewa tanggal  agustus  pesan helm harga  betapa kaget biaya kirim   omg kok bisa saya coba email mmal live chat cs mmal promo free ongkir cuman sampe tgl  agustus aja syarat tentu laku ah nyesel deh mending blbli aja deh,negative
waduh yg komplain blibli layan kualitas produk yg tdk sesuai   transfer tunggu proses tuju kirim kota garut tau layan blibli saya lalai mudah mudah blibli tdk kecewa member awal klo sy alami yg tdk sesuai saya kecewa saran dr sy tolong cek dlu barang sblm kirim k costumer bagus tidak dan jgn kirim barang rusak butut thanks no pesan,negative
pricenya harap senang customers anyway akun langgan recently susah access unable at all,negative
buruk,negative
pesan speaker lazada pakai x barang udah rusak barang bekas baru fisik aja yg baru,negative
trust fast response most convenience completely payment method i had an experienced they was did it very well for refund my amount cause some items what i looked for out of stock cases exactly i will give this ecommerce  of  star if you have wonderful service that i have never seen before thank you,positive
bukalapak sedia featur belanja aman dengan pilih produk harga saing mudah guna nya,positive
belanja blibli harga barang mehong,negative
jauh puas layan blibli com promo voucher nya minim jadi tarik kalo banding market place belah tawar potong voucher produk tsb diskon toko,positive
maknyus mantap joss saran masuk oke dah gitu aja,positive
saya guna olx sejal olx ada fitur yg sulit pakai searching area km segingga sayabtdk bs cr area luar itu menu enak jf aplikasi belanja ol yg sayavtd pakai kecewa,negative
saya kecewa layan blibli com ya voucher refund kirim refund tanggal  desember  kirim voucher dana refund nomer pesan private info removed,negative
although i only had the chance to buy one product from this store but i was completely satisfied with their service in terms of speed delivery process and the quality of product i ordered definitely would recommend the store to anyone keep up the good job,positive
belanja dsana tp stlh kali alam trouble cs jawabanny sgt kecewa kali ttg ukur tas yg tdk d ket detail brg cs ukur  cm x  cm x cm oh come on,negative
dulu salah beli terus gampang batal uang aman lagi tapi fungsi tau mana ada apa yg paham update aplikasi baru dengan pindah tiada tombol batal kenapa jauh tombol batal,negative
olx sungguh bikin kecewa mangkel sulit ribet dsb padahal andal olx berat hati lupa olx baik minimal kembali versi lama,negative
bukalapak ecommerce saji produk capai service level agreement sla kualitas barang cepat layan bravo bukalapak,positive
udah bagus bgt nih aplikasi klo bs dprtahanin boleh tinggkatkan versi gak ribet klo sy sih versi dah bagus gak ribet gak nyusahin juga pokok nya gak kaya tokoangus yg deh sukses buka lapak,positive
nyesel kecewa nyaranin tmn sen tiket pesawat traveloka proses refund layan customer service berbelit ga jelas dlm proses maskapai sdangkan call maskapai info refund mrka tinggal proses dri traveloka trs aja lempar sini pdhl slama slalu pgn coba sen traveloka tp kali aja udh kya gin cukup jd yg akhir deh,negative
no order  produk miyako beli cacat pisau lepas guna pihak blibli janji mengirmkan kurir ambil barang sebut dari tanggal  ditungguin pemberitahuan saya komplain janji lg tgl  saya tungguin lg pemberitahuan saya komplain lg janji tgl  kurir datang saya tungguin kembali lg kurir pemberitahuan saya komplain lg suruh barang kirim sendiri dasar sial lo pikir cm wkt lo aja yg harga balikin wkt gue nungguin kurir lo,negative
kata sih jabodetabek cepat nihil lama banget konfrim via email email gak jawab jahat banget zalora masa koordinasi grab aja gak bisa balikin uang nunggu barang zalora gimana nasib gt,negative
saya beli motor yamaha seoul tanggal  des  blibli tulis promo hadiah voucher carrefour grid lock hadiah voucher grid lock kali kali telp email complain blm  kemarin info barang kirim terima satpam nama rahmat telah bulan komplain gampang kirim satpam nama rahmat titip satpam lgs rumah tunggu nomor resi begini blibli hadap customernya hak dapat kapok belanja blibli regards tresthy nomor pesan private info removed,negative
belanja toped via cc gagal checkout tedebet telp gak void hr itu tunggu  kerja void telp ke void email balas trx batal coba trx dgn cc gagal telp cs toped void itu bantu esok saran telp jam  telp janji jam  cancel void jam  email masuk telp lagi jam  email masuk trx batal sore cek limit masuk telp lagi janji senin alas libur kalo sabtu minggu senin sore cek masuk jg telp janji cek besok kabar ehh sore jalan telp gak angkat coba telpon esok hari jengkel telp janji jam  sore telp jam  sore jg gak telp saya telp telp putus marah saya telp  menit anggap putus hold dikabark jam  telp telp balik ok tunggu kalo sampe jelas refund dana lapor ylki n kirim surat baca media cetak,negative
beli logitech g rumah selamat kotak keyboard penyok sana sini keycaps copot beranta tempat segel telah buka kirim tanpa bubblewrap plastik bungkus makan plastik bungkus keyboard sobek dapet keyboard second hand salah kirim pas packing kalo pas dapetnya beranta gin sih kecewa berat,negative
jual lengkap,positive
saya kali beli online dapat agen tiket com alhamdulillah g harga kompetitif yg d sayang aplikasi langsung d tiket com lola loding sinyal bagus cgk  bej via tiket com thank s arif,positive
kirim cepat,positive
jual beli online baik muarah nego lagi ga situs lain thanks bukalapak,positive
pasang iklan barang cepat laku ya olx,positive
maaf guna setia media jual beli online olx betapa kaget kecewa tampil ini fitur pusing tambah fitur google maps sulit tawar barang dasar lokasi itu barang ad rumah contoh pasang eh google lokasi tunjuk kota surabaya bikin pusing guna hilang tolong olx hilang  guna,negative
saya beli spc s neo barang sih kirim buka pasang baterai coba hidup hp nyala aduh refund refund barang kirim blibli saya suruh tunggu tunggu no pesan  no kembali casemgmt,negative
trimakasih vipplaza pesan di dumai  minggu  yang penasaran galau kemaren di menu pesan status tunggu supplier lama baru tiga ubah pesan selesai padahal barang tangan saya tapi inti wajar trimakasih,positive
aplikasi olx susah cari barang payah,negative
halo blibli pesan asus zenfone  desember tanggal  ubah tunggu ambil kurir estimasi kirim  desember s d  desember kirim saat csnya gantung saja cs nama wanda saya coba hubung cs bima gantung kece apakah itu masalah beli merchantnya reccomended merchant blibli com jamin apakah bohong belaka cs sop kendala mana nomor pesan private info removed saya percaya blibli com senior sana tapi layan reccomended belanja blibli com silah hubung private info removed gamma satria,negative
jelas transfer jelas beli via atm transfer opsi bank tuju langsung notifikasi kode bayar   serta no rekening tuju yg transfer,negative
mataharimall com always offer their crazy deals like  discount for their products,positive
i can t buying,negative
tahan tingkat layan prima ada,positive
cara gampang belu tiket ka harga murah,positive
new company but now the best company,positive
good service fast delivery keep up the good work,positive
saya kecewa lazada barusan pesan  item baju lazada tetapi total pesan  suruh transfr  trnyata kirim jakarta  lbh sebner nya kirimin  jam kalimantan barat masa ongkir  kirim leguler pke jne aja  smpai kalbar  mao  smpai x belanja lazada berani belanja lazada takut kapok,negative
selalu waktu mantaff sae pis,positive
saya booking tiket aplikasi tiket com bayar klikpay bca no id pesan  berangkat tiket diissued jelas kali hubung cs tiket com telepon saya domisili makassar email jawab sama sabar nanti tunggu saya cek rekening klikbca debet nilai pesan saya email tiket com jawab tunggu konfirmasi bank tiket com helloooo tolong benah sistem bayar nasabah anda rugi sistem lelet begini,negative
alam order blanja com mudah promonya kasih voucher dua jempol blanja com mantapppp,positive
saya kali beli produk lazada selang note book tanggal  oktober  beli  jenis usb hub walaupun harga murah tarik bentuk bentuk kotak human bentuk orang yang kotak terima sesuai pesan usb hub bentuk orang kirim orang mati gencet alias kotak lurus bentuk orang padahal tarik bentuk kirim bentuk kotak lurus bahan plastik kirim kirim klikmystore com usb hub combo human bentuk orang  port  putih sangat kecewa ragu belanja lazada,negative
diskon syarat,negative
semua tampil web harga jujur live chat layan cs mudah proses mesan tiket tiket com terima kasih tiket com luar biasa luar biasa moga jaya,positive
semua layan bagus,positive
saya beli barang salah merchant yg percaya blibli com dgn nilai juta rupiah dgn metode bayar cicil bca tapi akibat salah blibli com dan atau logistik terima barang sebut blibli com informasi barang terima masalah lapor customer service pilih tunggu barang kirim refund pilih tunggu butuh barang nya sampai barang hubung customer service refund  mesan barang proses refund jelas respon customer service yg alami lamban solusi kecewa barang terima status proses refund jelas tambah bayar cicil bca barang yg terima tidak ini alam yg buruk layan ecommerce yg guna padahal beli barang merchant yg layan ecommerce direct merchant tsb mengalamai ini kapok belanja blibli com tunggu solusi blibli com belanja blibli com promo yg tarik apa karena belanja jual yg tanggung promo banding belanja jual yg promo tanggung jawab,negative
not only sell expire bms ticket but also sell expire groupon voucher what a ridiculous company,negative
min gw beli tv daerah gw gak cakup wilayah kirim gw isi alamt mana ntar biar kirim tvnya kartu gw mandiri sistem bayar via cicil gimana berapa bayar kali angep harga tv jt trs cicil ambil langsung rekening gmn,positive
good,positive
ramping fleksibel,positive
the prices at this online shopping is too expensive,negative
i ask to cs and its very helpfull,positive
mau free ongkirnya sy mesan vacum cleaner di item barang yg sy pilih free ongkir indonesia tp sy bayar knp muncul ongkirnya ya dan ongkirnya lumayan mahal rban sy free ongkir utk produk sj stlh sy check tentu free ongkirnya utk produk vacum cleaner yg sy beli dlm item yg free ongkir kok jd knp ya utk brg yg sy beli kena ongkir ya mhn info tks,negative
coba buka segmen otomotif bekas om kaya mobil motor biar variatif,positive
saya senang belanja blibli,positive
name,positive
layan pc pentium   kerja pesan proses janji  kerja nomor resi kirim tampil,negative
kualitas gantung cermat pilih,positive
brang banger nyampe nya mnding blanja lngsung saya order brang dari liar negri liat testimoni org cpet pling lma  mngguan eh suruh nunggu  alas brang dr seller international lazada jempol deh tmbah jempol kaki skalian,negative
pd cek harga murah dgn harga   pd bayar   pemberitahuan perubahaan harga spt traveloka com,negative
hampir situs ecommerce yg indonesia coba belanja namun blibli com after salesnya jamin untuk barang cocok kurang dll refund bantu cs blibli sahabat profesional,positive
harga barang pasar lebih mahal kasih diskon tetep mahal d moga layan ubah,negative
baik selalu bantu usaha tengah bawah jual website ini hampir barang sini masih lagi kurang baik promo ongkir beli membli led lihat ongkir nya mahal langsung niat beli led sebut,positive
untuk bayar tolong upgrade yg via transfer cimb agar d transfer via atm bkn via cimb clik rekening ponsel cimb,positive
langgan banget tokopedia upgrade ribet berat tolong kembali tampilam sebelummya kecewa dan sangat bingung,negative
jika pilih  bintang sudah  minggu semenjak  mei  mes barang microsoft lumia  nomor pesan  metode bayar full payment kartu kredit  mei  suruh tunggu lagi cs  minggu status pesan proses notifikasi bayar terima proses merchant kirim kali email kali chat merchant sedia barang blibli konsumen batas hak tahu usul barang beli alas wewenang cs singkat cerita logistik konfirmasi jelas status pesan saya banding belanja tokopedia lazada lambat  semenjak tanggal pesan barang rumah blibli  minggu tanggal pesan status proses pesan cs mengkoordinir tekan cepat proses pesan pikir cs tangan komplain konsumen pikir cs milik wewenang konfirmasi jelas internal blibli barang kirim konsumen puas sungguh manajemen buruk usaha ecommerce ini profesional koordinasi tegas konsumen bingung paksa sabar nyata maaf kali butuh jelas pasti pesan kirim cemas curiga rekomendasi ecommerce transaksi jual beli apa alam kali akhir terima kasih blibli tekan darah tinggi,positive
telah tfer uang beli barang toped ini ada berita konfirmasi tele tele dan tungu tungu barang nya  datang eh tiba konfirmasi email barang nya ga dikirimin jual alas jelas bagaimana kalo butuh barang itu lebih puas belanja dikaskus not recomended ni toped,negative
all new olx sampah,negative
olx v all new olx sangat kecewa,negative
baik nya respon cepat aman,positive
mesan  pd tgl    sdh sy bayar hari yg sama email dr lazada mesan batal bayar temu sy hub cs lazada cs mati lazada suka batal pesan yg jelas,negative
lebih balikin versi saja karna mudah sulit cari,negative
yumi yulanda,positive
kira nyampe gk tuh kalau gk nyampe gimana tolong jawab,positive
ok,negative
saya pesan xiaomi redmi  headset xiaomi tanggal  september kirim  oktober  oktober barang sampai bahkan live chat cust service kirim email keluh kata proses kirim tapi ini saya kecewa ini alam belanja lazada dan kecewa padahal beli trusted seller bintang lazada indocom kuningan best connection kits shame on you lazada jangan rugi konsumen,negative
kapok beli online barang banyak bagus jellek,negative
layan yg mudah akses sistem otomatis utk status beli mudah pantau si konsumen buruk nya terkadang lapak yg tolak pesan bete,positive
sukaaa belanja d blibli com proses cepattt g pake lama,positive
saya check in malam salah hotel jakarta dan alam yg buruk traveloka transfer uang konfirmasi tunggu  jam karna baik tunggu  jam email voucher masuk lantas tunggu  jam atau  hari saya rekomendasi keluarga teman traveloka karna layan buruk percaya rasa sekarang,negative
kurir ga sms udh tau bayar di tempat harus sms dong dasar,negative
saya order slowcooker paket terima kondisi keramik masak pecah saya kirim email direspon order no private info removed,negative
the things that i ordered via mataharimall come quickly and precisely i am really satisfied buying things via this online shop,positive
awesome on every vendor on tokopedia good respon n services,positive
saya tanya order barang bayar sabtu pesan proses apakah barang benar estimasi tentu nanti kasih review bintang kalo barang beneran sampe estimasi udah tentu,negative
beli printer pantum  serta cartridge nya total   juta rupiah nomor pesan private info removed tanggal  desember  pikir pesan online shopping lazada com promo undi jepang pilih order blibli com barang tanggal  january  kirim email cs blibli kirim tanggal  january pikir  kirim barang hasil adalah sampai tanggal  january  status proses nomor resi cs by phone by email jawabanya terus merchant online shop batas merchant kirim  bukalapak com  tokopedia com blibli com tekan merchant kirim barang cepat tanggal  january paksa beli product jenis toko offline kali pesan blibli com niat hati ken cepet praktis ribet uang banyak,negative
great matahari on service,positive
sistem transaksi kembang bukalapak letak posisi konsumen posisi rugi masalah sistem benah perspektif konsumen bukalapak kembang seller admin bukalapak konsumen terima kasih,negative
saya suka gaya promo iklan bukalapak gokilgokil bikin calon beli penasaran tarik satu harap bukalapak sedia nomor layan panggil suara layan sms nomor hp cdma gsm langgan mudah bantu,positive
sangat muas sederhana tarik mutu cepat top deh blibli,positive
saya mes produk tipe warna tetapi produk beda saya kali belanja tetapi kali produk sesuai gambar,negative
sederhana bantu,positive
saya langgan setia lazada lazada reputasi saya lama jrg serius kdg bbrp kirim krg lancar namun kali sangat kecewa saya pesan barang tgl  des web tera sdh kirim tgl  aman tgl  des namun tgl  des blm jg sampai lapor cs kirim plg tgl  des lahdalah tgl  des blm jg sampai harga barang k mmg gak mahal kalo gin gmn sy percaya utk belanja brg mahal padahal habis sy beli kamera lazada promosi nya aja yg heboh layan buruk,negative
mahal,negative
banyak promo diskon,positive
mohon maaf terus karena tugas batas wilayah indonesia terima kasih,positive
saya kecewa no pesan private info removed stnk plat motor janji    hr kerja data kirim kunjung sdh bulan lebih saya konfirmasi dealer salah administrasi faktur proses ulang yang kesal stnk plat fu habisin waktu biaya,negative
mulai nggak arah profit gede,negative
barang banget nyampenya banget dipake rugi gua,negative
belanja puas banget coba belanja pesan  produk  nya udah estimasi juga  nya barang yg terima expired kirim email sm live chat aju retur suruh tunggu  tunggu email konfirmasi kembali salah produk yg aju retur beda yg konfirmasi cs nya niat ken belanja gampang barang dipake cepet trus ribet parah banget kapok belanja blibli kalo gin,negative
saya sngat kecewa lepayanan lazada barang beli kunjung datang kode pesan  udh tunggu jdi kirim,negative
saya kecewa dg layan tokopedia saya beli token pln nila ribu  nomor tokennya jawab customer service tunggu tunggu tunggu kecewa kapok belanja tokopedia,negative
web bikin stress,negative
metoda bayar via mbanking diextend to be  jam masyarakat mudah bayar gantung ada atm area rural,positive
beli lg g pro  blibli cepat respon nya hari pesan kirim barang nya benar biasa gratis ongkir lagi packing nya rapi sekali layan yg sungguh biasaa thx blibli,positive
bad e commerce ever,negative
saya pesan bibli tgl  agustus  tgl  agustus  status tunggu ambil kurir no resi kirim sedia meski kirim gratis cicil nol promosi kirim lama sulit konsumen percaya bibli tks,negative
untung produk milik brand memang sedia preorder stock habis kurang login isi barang menu bar sedia sedia tombol langsung atas harga mahal beri promo diskon jarang ada tunjuk bayar sedia bayar payment konfirmasi lagi repot saia,negative
layan ramah,positive
layan cepat muas,positive
yth direktur utama lazada ikut kain refund dana pesan  pagi telpon halo bca nomor telepon  cerita batal pihak pesan saya oleh lazada dengan metode bayar dari bca klik pay yang sumber dari rekening debit saya pihak halo bca cs nama mas nyata bahwa status bayar bca klik pay sudah hasil dan dana sudah masuk ke rekening lazada hari ini juga saya minta segera di transfer uang refund di pesan saya  ke rekening private info removed bca atas nama septo isdi saputro karena sudah jelas dana sebut sudah masuk ke rekening lazada kalo hari ini tidak masuk juga saya akan buat lapor ke polisi besok pagi bahwa lazada telah tipu dengan sebut kalau proses kembali dana tunggu bijak bank bca padahal dari bca jelas sebut bahwa dana sebut sudah masuk ke rekening lazada sehingga dengan jelas lazada duga usaha gelap atau ambil dana saya terimakasih  regards septo isdi saputro,negative
sy senang belanja buka lapak kualitas bagus harga murah kalo sih pilih bayar bayar cod biar mudah konsumen sukses buka lapak,positive
saya pesan barang transfer transaksi batal oleh pihak blanja indikasi penyalahgunaan apa oke tunggu kembali dana aja lah eh udah  minggu nggak kabar saya coba cek akun via web tau status kembali dana nyata nggak historynya order bayar tuh historynya bingung cari nomor order ubek email ga ketemu padahal email transaksi ga hapus email internet bankingnya ada untung screenshot dulu komplain seller batal seller komplain csnya ya moga aja kelar padahal beli shopee dicancel seller uang langsung cepet tempat kena cancel,negative
cepat kirim packing save not expensive,positive
kali jadi pesan hotel tipu yang pertama voucher hotel full siksa cari hotel ganti nomor pesan  maqna hotel by prasanthi checkin  feb  checkout  feb  yang dua nomor pesan  grand central hotel pekanbaru checkin kamis  mei  checkout jumat  mei  pesan bayar voucher keluar saya konfirmasi hotel langsung hotel pesan traveloka komplain marah traveloka tawar refund saya tuju refund belit seperti sengaja tawar barang fiktif bayar uang masuk traveloka complain proses refund lamalamain apakah cari interest uang masuk bisa bayang transaksi rp    kali   transaksi m endap tunggu proses refund kalau bunga tabung  aja max rp jt rupiah bisa nambah profit usaha nutup promosi diskon gila sadisssss,negative
asdasdasdaacxasmdklamsdlkamskldmaslkm lkasmdlk aslkdmsalkmd alksmdlk amsd malsmdksmak maksdmj ahuiq uwoieuqo ijdkjans skq,positive
mataharimall is simple to use and too much payment method,positive
barang matahari mall com murah delivery barang pesan cepat,positive
saya percaya konsumen belanja praktis tokopedia,positive
pada tanggal  desember  mes barang blibli no pesan private info removed estimasi barang terima lambat tanggal  januari  namun barang status tunggu ambil kurir saya hubung cs berkali jawab muas libur baru kabar logistik dll karena batal refund transaksi sebut lagi muas pihak blibli proses refund tuju hingga blibli refund pesan tsb kecewa berat layan blibli,negative
harusny kode unik masuk dompet beli,positive
bagaimana bayar ibanking bni,positive
layan kecewa,negative
gampang beli milih yg yg disimpen sembelum beli saran tambahin donk biar sen tijet kereta api biar b langsung bayar indomart ato alafmart milih kursi,positive
saya kecewa tranksaksi transfer  pemberitahuan via email pesan kirim estimasi  kerja  barang kurir hubung coba konfirmasi lazada minta maaf suruh coba cek kala status kirim pemberitahuan batal isi form kembali dana kirim data pribadi rekening aman ya gan,negative
saya langgan lazada  ga masalah tgl  september  order  buah hp nomor mesan   buah hp acer  buah hp asus hp acer terima  order order  september  hp yg blm kirim tgl  lihat situs lazada ttg status order saya batal chat cs nya isi chatnya simpan cs barang yg kirim cacat batal aneh sih saya kalo batal barang cacat barang tsb produsen tukar toko online kelas lazada stok yg banyak  hp ga return gudang sendiri tunggu refund lazada  kerja saya ngeri belanja lazada takut ken belanja ribet ga belanja ribet,negative
bukalapak ajar seller cepat tanggap profesional sukses bukalapak,positive
gw order hair beauty nova in lazada pas barang barang rusak catokan nya gak panas rusak ini kali gw order barang lazada kapok dasar tuti,negative
kecewa belanja bibel com barang sampenya sekali dateng barang stock udah kotor gores gores gitu solar cell nya kata jamin asli gimana ni cara retur gimana kalo ga masukin media deh,negative
saya belanja lazada  kali april  ini order laku tnggal  agustus  order order tgl  agustus  masalah lambat hari  terima nya  kali  kali order laku namun order  kali tgl  augustus  oktober  terima mulai adu lazada tgl  september saya  kali sesi live chat terima  kali telpon lazada sesi chat telpon laku informasi klarifikasi nomor order nomor resi item adu tindak laku hasil sesi chat expedition telpon klarifikasi informasi nomor resi saya terima lazada valid jne keluar nomor resi maksud bagai costumer kecewa adu informasi absah nomor resi informasi costumer servis lazada pihak costumer service tunggu team investigasi hubung saya hingga sesi live chat tgl  oct telpon lazada fakta lazada lindung konsumen baik kerja lindung konsumen investigasi kecewa tuntut kembali uang tindak lanjut,negative
